LGA_NAME16	Year	NonSchoolQualification	persons
Ravensthorpe (S)	2011		1422
Ravensthorpe (S)	2011	Certificate nfd	37
Ravensthorpe (S)	2011	Certificate I and II Level	24
Ravensthorpe (S)	2011	Certificate III and IV Level	363
Ravensthorpe (S)	2011	Advanced Diploma and Diploma	119
Ravensthorpe (S)	2011	Bachelor	132
Ravensthorpe (S)	2011	Graduate Diploma and Graduate Certificate	11
Ravensthorpe (S)	2011	Postgraduate	18
Ravensthorpe (S)	2016		1183
Ravensthorpe (S)	2016	Certificate nfd	35
Ravensthorpe (S)	2016	Certificate I and II Level	19
Ravensthorpe (S)	2016	Certificate III and IV Level	244
Ravensthorpe (S)	2016	Advanced Diploma and Diploma	116
Ravensthorpe (S)	2016	Bachelor	112
Ravensthorpe (S)	2016	Graduate Diploma and Graduate Certificate	8
Ravensthorpe (S)	2016	Postgraduate	16
Rockingham (C)	2006		61251
Rockingham (C)	2006	Certificate nfd	1175
Rockingham (C)	2006	Certificate I and II Level	877
Rockingham (C)	2006	Certificate III and IV Level	12560
Rockingham (C)	2006	Advanced Diploma and Diploma	4221
Rockingham (C)	2006	Bachelor	3463
Rockingham (C)	2006	Graduate Diploma and Graduate Certificate	402
Rockingham (C)	2006	Postgraduate	357
Rockingham (C)	2011		70602
Rockingham (C)	2011	Certificate nfd	1359
Rockingham (C)	2011	Certificate I and II Level	1334
Rockingham (C)	2011	Certificate III and IV Level	17556
Rockingham (C)	2011	Advanced Diploma and Diploma	6201
Rockingham (C)	2011	Bachelor	5515
Rockingham (C)	2011	Graduate Diploma and Graduate Certificate	768
Rockingham (C)	2011	Postgraduate	770
Rockingham (C)	2016		79766
Rockingham (C)	2016	Certificate nfd	2149
Rockingham (C)	2016	Certificate I and II Level	1602
Rockingham (C)	2016	Certificate III and IV Level	22652
Rockingham (C)	2016	Advanced Diploma and Diploma	8616
Rockingham (C)	2016	Bachelor	7819
Rockingham (C)	2016	Graduate Diploma and Graduate Certificate	1136
Rockingham (C)	2016	Postgraduate	1374
Sandstone (S)	2006		96
Sandstone (S)	2006	Certificate nfd	0
Sandstone (S)	2006	Certificate I and II Level	3
Sandstone (S)	2006	Certificate III and IV Level	11
Sandstone (S)	2006	Advanced Diploma and Diploma	3
Sandstone (S)	2006	Bachelor	4
Sandstone (S)	2006	Graduate Diploma and Graduate Certificate	0
Sandstone (S)	2006	Postgraduate	0
Sandstone (S)	2011		84
Sandstone (S)	2011	Certificate nfd	0
Sandstone (S)	2011	Certificate I and II Level	0
Sandstone (S)	2011	Certificate III and IV Level	6
Sandstone (S)	2011	Advanced Diploma and Diploma	3
Sandstone (S)	2011	Bachelor	9
Sandstone (S)	2011	Graduate Diploma and Graduate Certificate	0
Sandstone (S)	2011	Postgraduate	3
Sandstone (S)	2016		62
Sandstone (S)	2016	Certificate nfd	0
Sandstone (S)	2016	Certificate I and II Level	0
Sandstone (S)	2016	Certificate III and IV Level	15
Sandstone (S)	2016	Advanced Diploma and Diploma	5
Sandstone (S)	2016	Bachelor	4
Sandstone (S)	2016	Graduate Diploma and Graduate Certificate	3
Sandstone (S)	2016	Postgraduate	0
Serpentine-Jarrahdale (S)	2006		9240
Serpentine-Jarrahdale (S)	2006	Certificate nfd	169
Serpentine-Jarrahdale (S)	2006	Certificate I and II Level	122
Serpentine-Jarrahdale (S)	2006	Certificate III and IV Level	1957
Serpentine-Jarrahdale (S)	2006	Advanced Diploma and Diploma	652
Serpentine-Jarrahdale (S)	2006	Bachelor	600
Serpentine-Jarrahdale (S)	2006	Graduate Diploma and Graduate Certificate	69
Serpentine-Jarrahdale (S)	2006	Postgraduate	84
Serpentine-Jarrahdale (S)	2011		12080
Serpentine-Jarrahdale (S)	2011	Certificate nfd	235
Serpentine-Jarrahdale (S)	2011	Certificate I and II Level	191
Serpentine-Jarrahdale (S)	2011	Certificate III and IV Level	3049
Serpentine-Jarrahdale (S)	2011	Advanced Diploma and Diploma	986
Serpentine-Jarrahdale (S)	2011	Bachelor	928
Serpentine-Jarrahdale (S)	2011	Graduate Diploma and Graduate Certificate	141
Serpentine-Jarrahdale (S)	2011	Postgraduate	135
Serpentine-Jarrahdale (S)	2016		17057
Serpentine-Jarrahdale (S)	2016	Certificate nfd	439
Serpentine-Jarrahdale (S)	2016	Certificate I and II Level	320
Serpentine-Jarrahdale (S)	2016	Certificate III and IV Level	4927
Serpentine-Jarrahdale (S)	2016	Advanced Diploma and Diploma	1796
Serpentine-Jarrahdale (S)	2016	Bachelor	1721
Serpentine-Jarrahdale (S)	2016	Graduate Diploma and Graduate Certificate	244
Serpentine-Jarrahdale (S)	2016	Postgraduate	329
Shark Bay (S)	2006		635
Shark Bay (S)	2006	Certificate nfd	13
Shark Bay (S)	2006	Certificate I and II Level	3
Shark Bay (S)	2006	Certificate III and IV Level	108
Shark Bay (S)	2006	Advanced Diploma and Diploma	39
Shark Bay (S)	2006	Bachelor	46
Shark Bay (S)	2006	Graduate Diploma and Graduate Certificate	4
Shark Bay (S)	2006	Postgraduate	7
Shark Bay (S)	2011		553
Shark Bay (S)	2011	Certificate nfd	14
Shark Bay (S)	2011	Certificate I and II Level	15
Shark Bay (S)	2011	Certificate III and IV Level	157
Shark Bay (S)	2011	Advanced Diploma and Diploma	46
Shark Bay (S)	2011	Bachelor	55
Shark Bay (S)	2011	Graduate Diploma and Graduate Certificate	9
Shark Bay (S)	2011	Postgraduate	6
Shark Bay (S)	2016		598
Shark Bay (S)	2016	Certificate nfd	23
Shark Bay (S)	2016	Certificate I and II Level	21
Shark Bay (S)	2016	Certificate III and IV Level	157
Shark Bay (S)	2016	Advanced Diploma and Diploma	51
Shark Bay (S)	2016	Bachelor	78
Shark Bay (S)	2016	Graduate Diploma and Graduate Certificate	7
Shark Bay (S)	2016	Postgraduate	11
South Perth (C)	2006		22306
South Perth (C)	2006	Certificate nfd	499
South Perth (C)	2006	Certificate I and II Level	276
South Perth (C)	2006	Certificate III and IV Level	2906
South Perth (C)	2006	Advanced Diploma and Diploma	3143
South Perth (C)	2006	Bachelor	6826
South Perth (C)	2006	Graduate Diploma and Graduate Certificate	796
South Perth (C)	2006	Postgraduate	1609
South Perth (C)	2011		21762
South Perth (C)	2011	Certificate nfd	471
South Perth (C)	2011	Certificate I and II Level	252
South Perth (C)	2011	Certificate III and IV Level	3187
South Perth (C)	2011	Advanced Diploma and Diploma	3271
South Perth (C)	2011	Bachelor	8273
South Perth (C)	2011	Graduate Diploma and Graduate Certificate	1011
South Perth (C)	2011	Postgraduate	2512
South Perth (C)	2016		20917
South Perth (C)	2016	Certificate nfd	594
South Perth (C)	2016	Certificate I and II Level	271
South Perth (C)	2016	Certificate III and IV Level	3258
South Perth (C)	2016	Advanced Diploma and Diploma	3316
South Perth (C)	2016	Bachelor	9191
South Perth (C)	2016	Graduate Diploma and Graduate Certificate	1223
South Perth (C)	2016	Postgraduate	3219
Stirling (C)	2006		112905
Stirling (C)	2006	Certificate nfd	2463
Stirling (C)	2006	Certificate I and II Level	1396
Stirling (C)	2006	Certificate III and IV Level	17746
Stirling (C)	2006	Advanced Diploma and Diploma	12511
Stirling (C)	2006	Bachelor	22433
Stirling (C)	2006	Graduate Diploma and Graduate Certificate	2690
Stirling (C)	2006	Postgraduate	3966
Stirling (C)	2011		116222
Stirling (C)	2011	Certificate nfd	2477
Stirling (C)	2011	Certificate I and II Level	1521
Stirling (C)	2011	Certificate III and IV Level	20489
Stirling (C)	2011	Advanced Diploma and Diploma	14963
Stirling (C)	2011	Bachelor	29562
Stirling (C)	2011	Graduate Diploma and Graduate Certificate	3683
Stirling (C)	2011	Postgraduate	6782
Stirling (C)	2016		114854
Stirling (C)	2016	Certificate nfd	3341
Stirling (C)	2016	Certificate I and II Level	1623
Stirling (C)	2016	Certificate III and IV Level	22593
Stirling (C)	2016	Advanced Diploma and Diploma	17205
Stirling (C)	2016	Bachelor	36361
Stirling (C)	2016	Graduate Diploma and Graduate Certificate	4639
Stirling (C)	2016	Postgraduate	9592
Subiaco (C)	2006		8349
Subiaco (C)	2006	Certificate nfd	209
Subiaco (C)	2006	Certificate I and II Level	87
Subiaco (C)	2006	Certificate III and IV Level	783
Subiaco (C)	2006	Advanced Diploma and Diploma	1225
Subiaco (C)	2006	Bachelor	3883
Subiaco (C)	2006	Graduate Diploma and Graduate Certificate	457
Subiaco (C)	2006	Postgraduate	1387
Subiaco (C)	2011		8282
Subiaco (C)	2011	Certificate nfd	172
Subiaco (C)	2011	Certificate I and II Level	89
Subiaco (C)	2011	Certificate III and IV Level	812
Subiaco (C)	2011	Advanced Diploma and Diploma	1249
Subiaco (C)	2011	Bachelor	4547
Subiaco (C)	2011	Graduate Diploma and Graduate Certificate	584
Subiaco (C)	2011	Postgraduate	1840
Subiaco (C)	2016		8622
Subiaco (C)	2016	Certificate nfd	209
Subiaco (C)	2016	Certificate I and II Level	85
Subiaco (C)	2016	Certificate III and IV Level	876
Subiaco (C)	2016	Advanced Diploma and Diploma	1294
Subiaco (C)	2016	Bachelor	5228
Subiaco (C)	2016	Graduate Diploma and Graduate Certificate	659
Subiaco (C)	2016	Postgraduate	2386
Swan (C)	2006		68496
Swan (C)	2006	Certificate nfd	1239
Swan (C)	2006	Certificate I and II Level	824
Swan (C)	2006	Certificate III and IV Level	11560
Swan (C)	2006	Advanced Diploma and Diploma	4747
Swan (C)	2006	Bachelor	5194
Swan (C)	2006	Graduate Diploma and Graduate Certificate	559
Swan (C)	2006	Postgraduate	657
Swan (C)	2011		75094
Swan (C)	2011	Certificate nfd	1428
Swan (C)	2011	Certificate I and II Level	1072
Swan (C)	2011	Certificate III and IV Level	15405
Swan (C)	2011	Advanced Diploma and Diploma	6377
Swan (C)	2011	Bachelor	7096
Swan (C)	2011	Graduate Diploma and Graduate Certificate	876
Swan (C)	2011	Postgraduate	1114
Swan (C)	2016		85736
Swan (C)	2016	Certificate nfd	2157
Swan (C)	2016	Certificate I and II Level	1564
Swan (C)	2016	Certificate III and IV Level	20380
Swan (C)	2016	Advanced Diploma and Diploma	9375
Swan (C)	2016	Bachelor	11033
Swan (C)	2016	Graduate Diploma and Graduate Certificate	1336
Swan (C)	2016	Postgraduate	2270
Tammin (S)	2006		325
Tammin (S)	2006	Certificate nfd	0
Tammin (S)	2006	Certificate I and II Level	0
Tammin (S)	2006	Certificate III and IV Level	27
Tammin (S)	2006	Advanced Diploma and Diploma	12
Tammin (S)	2006	Bachelor	22
Tammin (S)	2006	Graduate Diploma and Graduate Certificate	3
Tammin (S)	2006	Postgraduate	0
Tammin (S)	2011		317
Tammin (S)	2011	Certificate nfd	5
Tammin (S)	2011	Certificate I and II Level	4
Tammin (S)	2011	Certificate III and IV Level	33
Tammin (S)	2011	Advanced Diploma and Diploma	20
Tammin (S)	2011	Bachelor	23
Tammin (S)	2011	Graduate Diploma and Graduate Certificate	3
Tammin (S)	2011	Postgraduate	0
Tammin (S)	2016		314
Tammin (S)	2016	Certificate nfd	5
Tammin (S)	2016	Certificate I and II Level	7
Tammin (S)	2016	Certificate III and IV Level	26
Tammin (S)	2016	Advanced Diploma and Diploma	15
Tammin (S)	2016	Bachelor	27
Tammin (S)	2016	Graduate Diploma and Graduate Certificate	8
Tammin (S)	2016	Postgraduate	0
Three Springs (S)	2006		521
Three Springs (S)	2006	Certificate nfd	3
Three Springs (S)	2006	Certificate I and II Level	3
Three Springs (S)	2006	Certificate III and IV Level	65
Three Springs (S)	2006	Advanced Diploma and Diploma	28
Three Springs (S)	2006	Bachelor	45
Three Springs (S)	2006	Graduate Diploma and Graduate Certificate	0
Three Springs (S)	2006	Postgraduate	0
Three Springs (S)	2011		456
Three Springs (S)	2011	Certificate nfd	7
Three Springs (S)	2011	Certificate I and II Level	3
Three Springs (S)	2011	Certificate III and IV Level	80
Three Springs (S)	2011	Advanced Diploma and Diploma	36
Three Springs (S)	2011	Bachelor	32
Three Springs (S)	2011	Graduate Diploma and Graduate Certificate	0
Three Springs (S)	2011	Postgraduate	0
Three Springs (S)	2016		426
Three Springs (S)	2016	Certificate nfd	16
Three Springs (S)	2016	Certificate I and II Level	4
Three Springs (S)	2016	Certificate III and IV Level	78
Three Springs (S)	2016	Advanced Diploma and Diploma	30
Three Springs (S)	2016	Bachelor	37
Three Springs (S)	2016	Graduate Diploma and Graduate Certificate	0
Three Springs (S)	2016	Postgraduate	3
Toodyay (S)	2006		2921
Toodyay (S)	2006	Certificate nfd	58
Toodyay (S)	2006	Certificate I and II Level	45
Toodyay (S)	2006	Certificate III and IV Level	596
Toodyay (S)	2006	Advanced Diploma and Diploma	213
Toodyay (S)	2006	Bachelor	206
Toodyay (S)	2006	Graduate Diploma and Graduate Certificate	29
Toodyay (S)	2006	Postgraduate	42
Toodyay (S)	2011		2976
Toodyay (S)	2011	Certificate nfd	65
Toodyay (S)	2011	Certificate I and II Level	48
Toodyay (S)	2011	Certificate III and IV Level	693
Toodyay (S)	2011	Advanced Diploma and Diploma	274
Toodyay (S)	2011	Bachelor	242
Toodyay (S)	2011	Graduate Diploma and Graduate Certificate	34
Toodyay (S)	2011	Postgraduate	55
Toodyay (S)	2016		2805
Toodyay (S)	2016	Certificate nfd	87
Toodyay (S)	2016	Certificate I and II Level	47
Toodyay (S)	2016	Certificate III and IV Level	777
Toodyay (S)	2016	Advanced Diploma and Diploma	329
Toodyay (S)	2016	Bachelor	272
Toodyay (S)	2016	Graduate Diploma and Graduate Certificate	51
Toodyay (S)	2016	Postgraduate	71
Trayning (S)	2006		315
Trayning (S)	2006	Certificate nfd	10
Trayning (S)	2006	Certificate I and II Level	3
Trayning (S)	2006	Certificate III and IV Level	35
Trayning (S)	2006	Advanced Diploma and Diploma	12
Trayning (S)	2006	Bachelor	17
Trayning (S)	2006	Graduate Diploma and Graduate Certificate	0
Trayning (S)	2006	Postgraduate	0
Trayning (S)	2011		275
Trayning (S)	2011	Certificate nfd	6
Trayning (S)	2011	Certificate I and II Level	0
Trayning (S)	2011	Certificate III and IV Level	38
Trayning (S)	2011	Advanced Diploma and Diploma	12
Trayning (S)	2011	Bachelor	13
Trayning (S)	2011	Graduate Diploma and Graduate Certificate	0
Trayning (S)	2011	Postgraduate	3
Trayning (S)	2016		266
Trayning (S)	2016	Certificate nfd	5
Trayning (S)	2016	Certificate I and II Level	7
Trayning (S)	2016	Certificate III and IV Level	39
Trayning (S)	2016	Advanced Diploma and Diploma	15
Trayning (S)	2016	Bachelor	12
Trayning (S)	2016	Graduate Diploma and Graduate Certificate	3
Trayning (S)	2016	Postgraduate	3
Upper Gascoyne (S)	2006		245
Upper Gascoyne (S)	2006	Certificate nfd	0
Upper Gascoyne (S)	2006	Certificate I and II Level	5
Upper Gascoyne (S)	2006	Certificate III and IV Level	16
Upper Gascoyne (S)	2006	Advanced Diploma and Diploma	10
Upper Gascoyne (S)	2006	Bachelor	12
Upper Gascoyne (S)	2006	Graduate Diploma and Graduate Certificate	0
Upper Gascoyne (S)	2006	Postgraduate	0
Upper Gascoyne (S)	2011		208
Upper Gascoyne (S)	2011	Certificate nfd	3
Upper Gascoyne (S)	2011	Certificate I and II Level	6
Upper Gascoyne (S)	2011	Certificate III and IV Level	12
Upper Gascoyne (S)	2011	Advanced Diploma and Diploma	6
Upper Gascoyne (S)	2011	Bachelor	9
Upper Gascoyne (S)	2011	Graduate Diploma and Graduate Certificate	3
Upper Gascoyne (S)	2011	Postgraduate	3
Upper Gascoyne (S)	2016		224
Upper Gascoyne (S)	2016	Certificate nfd	5
Upper Gascoyne (S)	2016	Certificate I and II Level	3
Upper Gascoyne (S)	2016	Certificate III and IV Level	24
Upper Gascoyne (S)	2016	Advanced Diploma and Diploma	9
Upper Gascoyne (S)	2016	Bachelor	6
Upper Gascoyne (S)	2016	Graduate Diploma and Graduate Certificate	3
Upper Gascoyne (S)	2016	Postgraduate	4
Victoria Park (T)	2006		17548
Victoria Park (T)	2006	Certificate nfd	368
Victoria Park (T)	2006	Certificate I and II Level	224
Victoria Park (T)	2006	Certificate III and IV Level	2626
Victoria Park (T)	2006	Advanced Diploma and Diploma	2115
Victoria Park (T)	2006	Bachelor	3870
Victoria Park (T)	2006	Graduate Diploma and Graduate Certificate	442
Victoria Park (T)	2006	Postgraduate	766
Victoria Park (T)	2011		18225
Victoria Park (T)	2011	Certificate nfd	346
Victoria Park (T)	2011	Certificate I and II Level	254
Victoria Park (T)	2011	Certificate III and IV Level	3269
Victoria Park (T)	2011	Advanced Diploma and Diploma	2641
Victoria Park (T)	2011	Bachelor	5439
Victoria Park (T)	2011	Graduate Diploma and Graduate Certificate	642
Victoria Park (T)	2011	Postgraduate	1617
Victoria Park (T)	2016		18489
Victoria Park (T)	2016	Certificate nfd	453
Victoria Park (T)	2016	Certificate I and II Level	280
Victoria Park (T)	2016	Certificate III and IV Level	3547
Victoria Park (T)	2016	Advanced Diploma and Diploma	2843
Victoria Park (T)	2016	Bachelor	6495
Victoria Park (T)	2016	Graduate Diploma and Graduate Certificate	790
Victoria Park (T)	2016	Postgraduate	2093
Victoria Plains (S)	2006		683
Victoria Plains (S)	2006	Certificate nfd	14
Victoria Plains (S)	2006	Certificate I and II Level	6
Victoria Plains (S)	2006	Certificate III and IV Level	85
Victoria Plains (S)	2006	Advanced Diploma and Diploma	45
Victoria Plains (S)	2006	Bachelor	61
Victoria Plains (S)	2006	Graduate Diploma and Graduate Certificate	6
Victoria Plains (S)	2006	Postgraduate	5
Victoria Plains (S)	2011		665
Victoria Plains (S)	2011	Certificate nfd	8
Victoria Plains (S)	2011	Certificate I and II Level	10
Victoria Plains (S)	2011	Certificate III and IV Level	98
Victoria Plains (S)	2011	Advanced Diploma and Diploma	39
Victoria Plains (S)	2011	Bachelor	68
Victoria Plains (S)	2011	Graduate Diploma and Graduate Certificate	3
Victoria Plains (S)	2011	Postgraduate	6
Victoria Plains (S)	2016		650
Victoria Plains (S)	2016	Certificate nfd	17
Victoria Plains (S)	2016	Certificate I and II Level	4
Victoria Plains (S)	2016	Certificate III and IV Level	100
Victoria Plains (S)	2016	Advanced Diploma and Diploma	52
Victoria Plains (S)	2016	Bachelor	67
Victoria Plains (S)	2016	Graduate Diploma and Graduate Certificate	11
Victoria Plains (S)	2016	Postgraduate	9
Vincent (C)	2006		15860
Vincent (C)	2006	Certificate nfd	356
Vincent (C)	2006	Certificate I and II Level	188
Vincent (C)	2006	Certificate III and IV Level	2247
Vincent (C)	2006	Advanced Diploma and Diploma	1990
Vincent (C)	2006	Bachelor	5210
Vincent (C)	2006	Graduate Diploma and Graduate Certificate	709
Vincent (C)	2006	Postgraduate	1173
Vincent (C)	2011		16213
Vincent (C)	2011	Certificate nfd	309
Vincent (C)	2011	Certificate I and II Level	220
Vincent (C)	2011	Certificate III and IV Level	2722
Vincent (C)	2011	Advanced Diploma and Diploma	2418
Vincent (C)	2011	Bachelor	6997
Vincent (C)	2011	Graduate Diploma and Graduate Certificate	904
Vincent (C)	2011	Postgraduate	1767
Vincent (C)	2016		15795
Vincent (C)	2016	Certificate nfd	427
Vincent (C)	2016	Certificate I and II Level	222
Vincent (C)	2016	Certificate III and IV Level	2864
Vincent (C)	2016	Advanced Diploma and Diploma	2591
Vincent (C)	2016	Bachelor	8214
Vincent (C)	2016	Graduate Diploma and Graduate Certificate	1115
Vincent (C)	2016	Postgraduate	2465
Wagin (S)	2006		1455
Wagin (S)	2006	Certificate nfd	15
Wagin (S)	2006	Certificate I and II Level	16
Wagin (S)	2006	Certificate III and IV Level	193
Wagin (S)	2006	Advanced Diploma and Diploma	67
Wagin (S)	2006	Bachelor	77
Wagin (S)	2006	Graduate Diploma and Graduate Certificate	12
Wagin (S)	2006	Postgraduate	7
Wagin (S)	2011		1436
Wagin (S)	2011	Certificate nfd	23
Wagin (S)	2011	Certificate I and II Level	17
Wagin (S)	2011	Certificate III and IV Level	220
Wagin (S)	2011	Advanced Diploma and Diploma	52
Wagin (S)	2011	Bachelor	81
Wagin (S)	2011	Graduate Diploma and Graduate Certificate	12
Wagin (S)	2011	Postgraduate	6
Wagin (S)	2016		1361
Wagin (S)	2016	Certificate nfd	31
Wagin (S)	2016	Certificate I and II Level	27
Wagin (S)	2016	Certificate III and IV Level	249
Wagin (S)	2016	Advanced Diploma and Diploma	77
Wagin (S)	2016	Bachelor	87
Wagin (S)	2016	Graduate Diploma and Graduate Certificate	15
Wagin (S)	2016	Postgraduate	5
Wandering (S)	2006		275
Wandering (S)	2006	Certificate nfd	4
Wandering (S)	2006	Certificate I and II Level	3
Wandering (S)	2006	Certificate III and IV Level	28
Wandering (S)	2006	Advanced Diploma and Diploma	21
Wandering (S)	2006	Bachelor	17
Wandering (S)	2006	Graduate Diploma and Graduate Certificate	6
Wandering (S)	2006	Postgraduate	0
Wandering (S)	2011		325
Wandering (S)	2011	Certificate nfd	3
Wandering (S)	2011	Certificate I and II Level	4
Wandering (S)	2011	Certificate III and IV Level	57
Wandering (S)	2011	Advanced Diploma and Diploma	20
Wandering (S)	2011	Bachelor	23
Wandering (S)	2011	Graduate Diploma and Graduate Certificate	3
Wandering (S)	2011	Postgraduate	3
Wandering (S)	2016		303
Wandering (S)	2016	Certificate nfd	13
Wandering (S)	2016	Certificate I and II Level	10
Wandering (S)	2016	Certificate III and IV Level	68
Wandering (S)	2016	Advanced Diploma and Diploma	21
Wandering (S)	2016	Bachelor	21
Wandering (S)	2016	Graduate Diploma and Graduate Certificate	3
Wandering (S)	2016	Postgraduate	5
Wanneroo (C)	2006		80730
Wanneroo (C)	2006	Certificate nfd	1465
Wanneroo (C)	2006	Certificate I and II Level	994
Wanneroo (C)	2006	Certificate III and IV Level	14607
Wanneroo (C)	2006	Advanced Diploma and Diploma	5946
Wanneroo (C)	2006	Bachelor	5918
Wanneroo (C)	2006	Graduate Diploma and Graduate Certificate	599
Wanneroo (C)	2006	Postgraduate	682
Wanneroo (C)	2011		102274
Wanneroo (C)	2011	Certificate nfd	1940
Wanneroo (C)	2011	Certificate I and II Level	1535
Wanneroo (C)	2011	Certificate III and IV Level	23079
Wanneroo (C)	2011	Advanced Diploma and Diploma	9601
Wanneroo (C)	2011	Bachelor	10847
Wanneroo (C)	2011	Graduate Diploma and Graduate Certificate	1237
Wanneroo (C)	2011	Postgraduate	1563
Wanneroo (C)	2016		118562
Wanneroo (C)	2016	Certificate nfd	3207
Wanneroo (C)	2016	Certificate I and II Level	2054
Wanneroo (C)	2016	Certificate III and IV Level	29172
Wanneroo (C)	2016	Advanced Diploma and Diploma	13866
Wanneroo (C)	2016	Bachelor	16244
Wanneroo (C)	2016	Graduate Diploma and Graduate Certificate	1924
Wanneroo (C)	2016	Postgraduate	3183
Waroona (S)	2006		2660
Waroona (S)	2006	Certificate nfd	45
Waroona (S)	2006	Certificate I and II Level	17
Waroona (S)	2006	Certificate III and IV Level	473
Waroona (S)	2006	Advanced Diploma and Diploma	129
Waroona (S)	2006	Bachelor	100
Waroona (S)	2006	Graduate Diploma and Graduate Certificate	17
Waroona (S)	2006	Postgraduate	7
Waroona (S)	2011		2575
Waroona (S)	2011	Certificate nfd	40
Waroona (S)	2011	Certificate I and II Level	38
Waroona (S)	2011	Certificate III and IV Level	614
Waroona (S)	2011	Advanced Diploma and Diploma	139
Waroona (S)	2011	Bachelor	141
Waroona (S)	2011	Graduate Diploma and Graduate Certificate	15
Waroona (S)	2011	Postgraduate	20
Waroona (S)	2016		2896
Waroona (S)	2016	Certificate nfd	66
Waroona (S)	2016	Certificate I and II Level	48
Waroona (S)	2016	Certificate III and IV Level	717
Waroona (S)	2016	Advanced Diploma and Diploma	216
Waroona (S)	2016	Bachelor	165
Waroona (S)	2016	Graduate Diploma and Graduate Certificate	19
Waroona (S)	2016	Postgraduate	21
West Arthur (S)	2006		676
West Arthur (S)	2006	Certificate nfd	9
West Arthur (S)	2006	Certificate I and II Level	3
West Arthur (S)	2006	Certificate III and IV Level	65
West Arthur (S)	2006	Advanced Diploma and Diploma	38
West Arthur (S)	2006	Bachelor	59
West Arthur (S)	2006	Graduate Diploma and Graduate Certificate	3
West Arthur (S)	2006	Postgraduate	3
West Arthur (S)	2011		648
West Arthur (S)	2011	Certificate nfd	12
West Arthur (S)	2011	Certificate I and II Level	9
West Arthur (S)	2011	Certificate III and IV Level	93
West Arthur (S)	2011	Advanced Diploma and Diploma	49
West Arthur (S)	2011	Bachelor	51
West Arthur (S)	2011	Graduate Diploma and Graduate Certificate	3
West Arthur (S)	2011	Postgraduate	3
West Arthur (S)	2016		594
West Arthur (S)	2016	Certificate nfd	15
West Arthur (S)	2016	Certificate I and II Level	12
West Arthur (S)	2016	Certificate III and IV Level	89
West Arthur (S)	2016	Advanced Diploma and Diploma	36
West Arthur (S)	2016	Bachelor	50
West Arthur (S)	2016	Graduate Diploma and Graduate Certificate	8
West Arthur (S)	2016	Postgraduate	5
Westonia (S)	2006		174
Westonia (S)	2006	Certificate nfd	3
Westonia (S)	2006	Certificate I and II Level	0
Westonia (S)	2006	Certificate III and IV Level	19
Westonia (S)	2006	Advanced Diploma and Diploma	3
Westonia (S)	2006	Bachelor	11
Westonia (S)	2006	Graduate Diploma and Graduate Certificate	0
Westonia (S)	2006	Postgraduate	0
Westonia (S)	2011		191
Westonia (S)	2011	Certificate nfd	5
Westonia (S)	2011	Certificate I and II Level	3
Westonia (S)	2011	Certificate III and IV Level	39
Westonia (S)	2011	Advanced Diploma and Diploma	13
Westonia (S)	2011	Bachelor	18
Westonia (S)	2011	Graduate Diploma and Graduate Certificate	3
Westonia (S)	2011	Postgraduate	4
Westonia (S)	2016		209
Westonia (S)	2016	Certificate nfd	3
Westonia (S)	2016	Certificate I and II Level	3
Westonia (S)	2016	Certificate III and IV Level	44
Westonia (S)	2016	Advanced Diploma and Diploma	15
Westonia (S)	2016	Bachelor	27
Westonia (S)	2016	Graduate Diploma and Graduate Certificate	3
Westonia (S)	2016	Postgraduate	0
Wickepin (S)	2006		574
Wickepin (S)	2006	Certificate nfd	14
Wickepin (S)	2006	Certificate I and II Level	4
Wickepin (S)	2006	Certificate III and IV Level	50
Wickepin (S)	2006	Advanced Diploma and Diploma	44
Wickepin (S)	2006	Bachelor	27
Wickepin (S)	2006	Graduate Diploma and Graduate Certificate	3
Wickepin (S)	2006	Postgraduate	0
Wickepin (S)	2011		577
Wickepin (S)	2011	Certificate nfd	14
Wickepin (S)	2011	Certificate I and II Level	6
Wickepin (S)	2011	Certificate III and IV Level	65
Wickepin (S)	2011	Advanced Diploma and Diploma	39
Wickepin (S)	2011	Bachelor	38
Wickepin (S)	2011	Graduate Diploma and Graduate Certificate	10
Wickepin (S)	2011	Postgraduate	0
Wickepin (S)	2016		523
Wickepin (S)	2016	Certificate nfd	14
Wickepin (S)	2016	Certificate I and II Level	13
Wickepin (S)	2016	Certificate III and IV Level	83
Wickepin (S)	2016	Advanced Diploma and Diploma	40
Wickepin (S)	2016	Bachelor	39
Wickepin (S)	2016	Graduate Diploma and Graduate Certificate	6
Wickepin (S)	2016	Postgraduate	0
Williams (S)	2006		659
Williams (S)	2006	Certificate nfd	12
Williams (S)	2006	Certificate I and II Level	5
Williams (S)	2006	Certificate III and IV Level	84
Williams (S)	2006	Advanced Diploma and Diploma	42
Williams (S)	2006	Bachelor	52
Williams (S)	2006	Graduate Diploma and Graduate Certificate	7
Williams (S)	2006	Postgraduate	3
Williams (S)	2011		666
Williams (S)	2011	Certificate nfd	14
Williams (S)	2011	Certificate I and II Level	11
Williams (S)	2011	Certificate III and IV Level	95
Williams (S)	2011	Advanced Diploma and Diploma	45
Williams (S)	2011	Bachelor	67
Williams (S)	2011	Graduate Diploma and Graduate Certificate	12
Williams (S)	2011	Postgraduate	4
Williams (S)	2016		665
Williams (S)	2016	Certificate nfd	19
Williams (S)	2016	Certificate I and II Level	13
