LGA_NAME16	Year	NonSchoolQualification	Sex	persons
Wagin (S)	2016	Certificate I and II Level	M	10
Wagin (S)	2016	Certificate III and IV Level	F	82
Wagin (S)	2016	Certificate III and IV Level	M	167
Wagin (S)	2016	Advanced Diploma and Diploma	F	43
Wagin (S)	2016	Advanced Diploma and Diploma	M	27
Wagin (S)	2016	Bachelor	F	67
Wagin (S)	2016	Bachelor	M	25
Wagin (S)	2016	Graduate Diploma and Graduate Certificate	F	14
Wagin (S)	2016	Graduate Diploma and Graduate Certificate	M	3
Wagin (S)	2016	Postgraduate	F	3
Wagin (S)	2016	Postgraduate	M	3
Wandering (S)	2006		F	123
Wandering (S)	2006		M	167
Wandering (S)	2006	Certificate nfd	F	0
Wandering (S)	2006	Certificate nfd	M	0
Wandering (S)	2006	Certificate I and II Level	F	0
Wandering (S)	2006	Certificate I and II Level	M	0
Wandering (S)	2006	Certificate III and IV Level	F	9
Wandering (S)	2006	Certificate III and IV Level	M	21
Wandering (S)	2006	Advanced Diploma and Diploma	F	11
Wandering (S)	2006	Advanced Diploma and Diploma	M	5
Wandering (S)	2006	Bachelor	F	13
Wandering (S)	2006	Bachelor	M	3
Wandering (S)	2006	Graduate Diploma and Graduate Certificate	F	6
Wandering (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Wandering (S)	2006	Postgraduate	F	0
Wandering (S)	2006	Postgraduate	M	0
Wandering (S)	2011		F	147
Wandering (S)	2011		M	169
Wandering (S)	2011	Certificate nfd	F	3
Wandering (S)	2011	Certificate nfd	M	4
Wandering (S)	2011	Certificate I and II Level	F	4
Wandering (S)	2011	Certificate I and II Level	M	0
Wandering (S)	2011	Certificate III and IV Level	F	16
Wandering (S)	2011	Certificate III and IV Level	M	42
Wandering (S)	2011	Advanced Diploma and Diploma	F	19
Wandering (S)	2011	Advanced Diploma and Diploma	M	7
Wandering (S)	2011	Bachelor	F	22
Wandering (S)	2011	Bachelor	M	3
Wandering (S)	2011	Graduate Diploma and Graduate Certificate	F	3
Wandering (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Wandering (S)	2011	Postgraduate	F	0
Wandering (S)	2011	Postgraduate	M	0
Wandering (S)	2016		F	149
Wandering (S)	2016		M	165
Wandering (S)	2016	Certificate nfd	F	4
Wandering (S)	2016	Certificate nfd	M	3
Wandering (S)	2016	Certificate I and II Level	F	9
Wandering (S)	2016	Certificate I and II Level	M	3
Wandering (S)	2016	Certificate III and IV Level	F	21
Wandering (S)	2016	Certificate III and IV Level	M	46
Wandering (S)	2016	Advanced Diploma and Diploma	F	12
Wandering (S)	2016	Advanced Diploma and Diploma	M	5
Wandering (S)	2016	Bachelor	F	17
Wandering (S)	2016	Bachelor	M	4
Wandering (S)	2016	Graduate Diploma and Graduate Certificate	F	3
Wandering (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Wandering (S)	2016	Postgraduate	F	4
Wandering (S)	2016	Postgraduate	M	0
Wanneroo (C)	2006		F	42871
Wanneroo (C)	2006		M	37872
Wanneroo (C)	2006	Certificate nfd	F	1020
Wanneroo (C)	2006	Certificate nfd	M	443
Wanneroo (C)	2006	Certificate I and II Level	F	656
Wanneroo (C)	2006	Certificate I and II Level	M	339
Wanneroo (C)	2006	Certificate III and IV Level	F	3758
Wanneroo (C)	2006	Certificate III and IV Level	M	10846
Wanneroo (C)	2006	Advanced Diploma and Diploma	F	3508
Wanneroo (C)	2006	Advanced Diploma and Diploma	M	2439
Wanneroo (C)	2006	Bachelor	F	3479
Wanneroo (C)	2006	Bachelor	M	2436
Wanneroo (C)	2006	Graduate Diploma and Graduate Certificate	F	382
Wanneroo (C)	2006	Graduate Diploma and Graduate Certificate	M	217
Wanneroo (C)	2006	Postgraduate	F	275
Wanneroo (C)	2006	Postgraduate	M	401
Wanneroo (C)	2011		F	53794
Wanneroo (C)	2011		M	48491
Wanneroo (C)	2011	Certificate nfd	F	1373
Wanneroo (C)	2011	Certificate nfd	M	562
Wanneroo (C)	2011	Certificate I and II Level	F	1002
Wanneroo (C)	2011	Certificate I and II Level	M	534
Wanneroo (C)	2011	Certificate III and IV Level	F	6949
Wanneroo (C)	2011	Certificate III and IV Level	M	16129
Wanneroo (C)	2011	Advanced Diploma and Diploma	F	5797
Wanneroo (C)	2011	Advanced Diploma and Diploma	M	3803
Wanneroo (C)	2011	Bachelor	F	6456
Wanneroo (C)	2011	Bachelor	M	4389
Wanneroo (C)	2011	Graduate Diploma and Graduate Certificate	F	793
Wanneroo (C)	2011	Graduate Diploma and Graduate Certificate	M	444
Wanneroo (C)	2011	Postgraduate	F	695
Wanneroo (C)	2011	Postgraduate	M	870
Wanneroo (C)	2016		F	61540
Wanneroo (C)	2016		M	57029
Wanneroo (C)	2016	Certificate nfd	F	2092
Wanneroo (C)	2016	Certificate nfd	M	1109
Wanneroo (C)	2016	Certificate I and II Level	F	1309
Wanneroo (C)	2016	Certificate I and II Level	M	737
Wanneroo (C)	2016	Certificate III and IV Level	F	9388
Wanneroo (C)	2016	Certificate III and IV Level	M	19787
Wanneroo (C)	2016	Advanced Diploma and Diploma	F	8165
Wanneroo (C)	2016	Advanced Diploma and Diploma	M	5703
Wanneroo (C)	2016	Bachelor	F	9887
Wanneroo (C)	2016	Bachelor	M	6362
Wanneroo (C)	2016	Graduate Diploma and Graduate Certificate	F	1266
Wanneroo (C)	2016	Graduate Diploma and Graduate Certificate	M	656
Wanneroo (C)	2016	Postgraduate	F	1552
Wanneroo (C)	2016	Postgraduate	M	1632
Waroona (S)	2006		F	1407
Waroona (S)	2006		M	1242
Waroona (S)	2006	Certificate nfd	F	28
Waroona (S)	2006	Certificate nfd	M	17
Waroona (S)	2006	Certificate I and II Level	F	16
Waroona (S)	2006	Certificate I and II Level	M	9
Waroona (S)	2006	Certificate III and IV Level	F	117
Waroona (S)	2006	Certificate III and IV Level	M	359
Waroona (S)	2006	Advanced Diploma and Diploma	F	85
Waroona (S)	2006	Advanced Diploma and Diploma	M	43
Waroona (S)	2006	Bachelor	F	53
Waroona (S)	2006	Bachelor	M	44
Waroona (S)	2006	Graduate Diploma and Graduate Certificate	F	12
Waroona (S)	2006	Graduate Diploma and Graduate Certificate	M	6
Waroona (S)	2006	Postgraduate	F	3
Waroona (S)	2006	Postgraduate	M	9
Waroona (S)	2011		F	1384
Waroona (S)	2011		M	1205
Waroona (S)	2011	Certificate nfd	F	28
Waroona (S)	2011	Certificate nfd	M	10
Waroona (S)	2011	Certificate I and II Level	F	21
Waroona (S)	2011	Certificate I and II Level	M	10
Waroona (S)	2011	Certificate III and IV Level	F	173
Waroona (S)	2011	Certificate III and IV Level	M	436
Waroona (S)	2011	Advanced Diploma and Diploma	F	87
Waroona (S)	2011	Advanced Diploma and Diploma	M	53
Waroona (S)	2011	Bachelor	F	96
Waroona (S)	2011	Bachelor	M	47
Waroona (S)	2011	Graduate Diploma and Graduate Certificate	F	16
Waroona (S)	2011	Graduate Diploma and Graduate Certificate	M	4
Waroona (S)	2011	Postgraduate	F	4
Waroona (S)	2011	Postgraduate	M	9
Waroona (S)	2016		F	1503
Waroona (S)	2016		M	1387
Waroona (S)	2016	Certificate nfd	F	44
Waroona (S)	2016	Certificate nfd	M	27
Waroona (S)	2016	Certificate I and II Level	F	38
Waroona (S)	2016	Certificate I and II Level	M	8
Waroona (S)	2016	Certificate III and IV Level	F	214
Waroona (S)	2016	Certificate III and IV Level	M	502
Waroona (S)	2016	Advanced Diploma and Diploma	F	132
Waroona (S)	2016	Advanced Diploma and Diploma	M	88
Waroona (S)	2016	Bachelor	F	114
Waroona (S)	2016	Bachelor	M	51
Waroona (S)	2016	Graduate Diploma and Graduate Certificate	F	16
Waroona (S)	2016	Graduate Diploma and Graduate Certificate	M	3
Waroona (S)	2016	Postgraduate	F	15
Waroona (S)	2016	Postgraduate	M	5
West Arthur (S)	2006		F	298
West Arthur (S)	2006		M	381
West Arthur (S)	2006	Certificate nfd	F	3
West Arthur (S)	2006	Certificate nfd	M	5
West Arthur (S)	2006	Certificate I and II Level	F	0
West Arthur (S)	2006	Certificate I and II Level	M	3
West Arthur (S)	2006	Certificate III and IV Level	F	26
West Arthur (S)	2006	Certificate III and IV Level	M	37
West Arthur (S)	2006	Advanced Diploma and Diploma	F	27
West Arthur (S)	2006	Advanced Diploma and Diploma	M	12
West Arthur (S)	2006	Bachelor	F	40
West Arthur (S)	2006	Bachelor	M	15
West Arthur (S)	2006	Graduate Diploma and Graduate Certificate	F	3
West Arthur (S)	2006	Graduate Diploma and Graduate Certificate	M	0
West Arthur (S)	2006	Postgraduate	F	0
West Arthur (S)	2006	Postgraduate	M	3
West Arthur (S)	2011		F	303
West Arthur (S)	2011		M	343
West Arthur (S)	2011	Certificate nfd	F	11
West Arthur (S)	2011	Certificate nfd	M	3
West Arthur (S)	2011	Certificate I and II Level	F	0
West Arthur (S)	2011	Certificate I and II Level	M	4
West Arthur (S)	2011	Certificate III and IV Level	F	28
West Arthur (S)	2011	Certificate III and IV Level	M	68
West Arthur (S)	2011	Advanced Diploma and Diploma	F	35
West Arthur (S)	2011	Advanced Diploma and Diploma	M	12
West Arthur (S)	2011	Bachelor	F	37
West Arthur (S)	2011	Bachelor	M	15
West Arthur (S)	2011	Graduate Diploma and Graduate Certificate	F	4
West Arthur (S)	2011	Graduate Diploma and Graduate Certificate	M	0
West Arthur (S)	2011	Postgraduate	F	0
West Arthur (S)	2011	Postgraduate	M	4
West Arthur (S)	2016		F	270
West Arthur (S)	2016		M	324
West Arthur (S)	2016	Certificate nfd	F	7
West Arthur (S)	2016	Certificate nfd	M	9
West Arthur (S)	2016	Certificate I and II Level	F	4
West Arthur (S)	2016	Certificate I and II Level	M	5
West Arthur (S)	2016	Certificate III and IV Level	F	38
West Arthur (S)	2016	Certificate III and IV Level	M	52
West Arthur (S)	2016	Advanced Diploma and Diploma	F	31
West Arthur (S)	2016	Advanced Diploma and Diploma	M	8
West Arthur (S)	2016	Bachelor	F	34
West Arthur (S)	2016	Bachelor	M	17
West Arthur (S)	2016	Graduate Diploma and Graduate Certificate	F	5
West Arthur (S)	2016	Graduate Diploma and Graduate Certificate	M	0
West Arthur (S)	2016	Postgraduate	F	3
West Arthur (S)	2016	Postgraduate	M	3
Westonia (S)	2006		F	83
Westonia (S)	2006		M	94
Westonia (S)	2006	Certificate nfd	F	3
Westonia (S)	2006	Certificate nfd	M	0
Westonia (S)	2006	Certificate I and II Level	F	0
Westonia (S)	2006	Certificate I and II Level	M	0
Westonia (S)	2006	Certificate III and IV Level	F	7
Westonia (S)	2006	Certificate III and IV Level	M	9
Westonia (S)	2006	Advanced Diploma and Diploma	F	7
Westonia (S)	2006	Advanced Diploma and Diploma	M	0
Westonia (S)	2006	Bachelor	F	8
Westonia (S)	2006	Bachelor	M	3
Westonia (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Westonia (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Westonia (S)	2006	Postgraduate	F	0
Westonia (S)	2006	Postgraduate	M	0
Westonia (S)	2011		F	72
Westonia (S)	2011		M	118
Westonia (S)	2011	Certificate nfd	F	5
Westonia (S)	2011	Certificate nfd	M	3
Westonia (S)	2011	Certificate I and II Level	F	3
Westonia (S)	2011	Certificate I and II Level	M	0
Westonia (S)	2011	Certificate III and IV Level	F	5
Westonia (S)	2011	Certificate III and IV Level	M	32
Westonia (S)	2011	Advanced Diploma and Diploma	F	6
Westonia (S)	2011	Advanced Diploma and Diploma	M	3
Westonia (S)	2011	Bachelor	F	17
Westonia (S)	2011	Bachelor	M	8
Westonia (S)	2011	Graduate Diploma and Graduate Certificate	F	3
Westonia (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Westonia (S)	2011	Postgraduate	F	0
Westonia (S)	2011	Postgraduate	M	4
Westonia (S)	2016		F	81
Westonia (S)	2016		M	121
Westonia (S)	2016	Certificate nfd	F	0
Westonia (S)	2016	Certificate nfd	M	4
Westonia (S)	2016	Certificate I and II Level	F	3
Westonia (S)	2016	Certificate I and II Level	M	0
Westonia (S)	2016	Certificate III and IV Level	F	7
Westonia (S)	2016	Certificate III and IV Level	M	39
Westonia (S)	2016	Advanced Diploma and Diploma	F	7
Westonia (S)	2016	Advanced Diploma and Diploma	M	4
Westonia (S)	2016	Bachelor	F	20
Westonia (S)	2016	Bachelor	M	14
Westonia (S)	2016	Graduate Diploma and Graduate Certificate	F	3
Westonia (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Westonia (S)	2016	Postgraduate	F	0
Westonia (S)	2016	Postgraduate	M	0
Wickepin (S)	2006		F	258
Wickepin (S)	2006		M	301
Wickepin (S)	2006	Certificate nfd	F	8
Wickepin (S)	2006	Certificate nfd	M	4
Wickepin (S)	2006	Certificate I and II Level	F	5
Wickepin (S)	2006	Certificate I and II Level	M	3
Wickepin (S)	2006	Certificate III and IV Level	F	19
Wickepin (S)	2006	Certificate III and IV Level	M	37
Wickepin (S)	2006	Advanced Diploma and Diploma	F	31
Wickepin (S)	2006	Advanced Diploma and Diploma	M	11
Wickepin (S)	2006	Bachelor	F	16
Wickepin (S)	2006	Bachelor	M	14
Wickepin (S)	2006	Graduate Diploma and Graduate Certificate	F	6
Wickepin (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Wickepin (S)	2006	Postgraduate	F	0
Wickepin (S)	2006	Postgraduate	M	0
Wickepin (S)	2011		F	270
Wickepin (S)	2011		M	315
Wickepin (S)	2011	Certificate nfd	F	4
Wickepin (S)	2011	Certificate nfd	M	12
Wickepin (S)	2011	Certificate I and II Level	F	6
Wickepin (S)	2011	Certificate I and II Level	M	0
Wickepin (S)	2011	Certificate III and IV Level	F	25
Wickepin (S)	2011	Certificate III and IV Level	M	42
Wickepin (S)	2011	Advanced Diploma and Diploma	F	23
Wickepin (S)	2011	Advanced Diploma and Diploma	M	13
Wickepin (S)	2011	Bachelor	F	24
Wickepin (S)	2011	Bachelor	M	7
Wickepin (S)	2011	Graduate Diploma and Graduate Certificate	F	9
Wickepin (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Wickepin (S)	2011	Postgraduate	F	0
Wickepin (S)	2011	Postgraduate	M	0
Wickepin (S)	2016		F	237
Wickepin (S)	2016		M	289
Wickepin (S)	2016	Certificate nfd	F	7
Wickepin (S)	2016	Certificate nfd	M	4
Wickepin (S)	2016	Certificate I and II Level	F	6
Wickepin (S)	2016	Certificate I and II Level	M	11
Wickepin (S)	2016	Certificate III and IV Level	F	30
Wickepin (S)	2016	Certificate III and IV Level	M	50
Wickepin (S)	2016	Advanced Diploma and Diploma	F	32
Wickepin (S)	2016	Advanced Diploma and Diploma	M	14
Wickepin (S)	2016	Bachelor	F	25
Wickepin (S)	2016	Bachelor	M	10
Wickepin (S)	2016	Graduate Diploma and Graduate Certificate	F	6
Wickepin (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Wickepin (S)	2016	Postgraduate	F	0
Wickepin (S)	2016	Postgraduate	M	0
Williams (S)	2006		F	308
Williams (S)	2006		M	350
Williams (S)	2006	Certificate nfd	F	6
Williams (S)	2006	Certificate nfd	M	7
Williams (S)	2006	Certificate I and II Level	F	4
Williams (S)	2006	Certificate I and II Level	M	3
Williams (S)	2006	Certificate III and IV Level	F	24
Williams (S)	2006	Certificate III and IV Level	M	55
Williams (S)	2006	Advanced Diploma and Diploma	F	22
Williams (S)	2006	Advanced Diploma and Diploma	M	16
Williams (S)	2006	Bachelor	F	38
Williams (S)	2006	Bachelor	M	17
Williams (S)	2006	Graduate Diploma and Graduate Certificate	F	11
Williams (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Williams (S)	2006	Postgraduate	F	3
Williams (S)	2006	Postgraduate	M	0
Williams (S)	2011		F	321
Williams (S)	2011		M	360
Williams (S)	2011	Certificate nfd	F	4
Williams (S)	2011	Certificate nfd	M	6
Williams (S)	2011	Certificate I and II Level	F	6
Williams (S)	2011	Certificate I and II Level	M	7
Williams (S)	2011	Certificate III and IV Level	F	24
Williams (S)	2011	Certificate III and IV Level	M	67
Williams (S)	2011	Advanced Diploma and Diploma	F	26
Williams (S)	2011	Advanced Diploma and Diploma	M	16
Williams (S)	2011	Bachelor	F	47
Williams (S)	2011	Bachelor	M	21
Williams (S)	2011	Graduate Diploma and Graduate Certificate	F	6
Williams (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Williams (S)	2011	Postgraduate	F	3
Williams (S)	2011	Postgraduate	M	0
Williams (S)	2016		F	302
Williams (S)	2016		M	371
Williams (S)	2016	Certificate nfd	F	10
Williams (S)	2016	Certificate nfd	M	10
Williams (S)	2016	Certificate I and II Level	F	3
Williams (S)	2016	Certificate I and II Level	M	6
Williams (S)	2016	Certificate III and IV Level	F	44
Williams (S)	2016	Certificate III and IV Level	M	83
Williams (S)	2016	Advanced Diploma and Diploma	F	26
Williams (S)	2016	Advanced Diploma and Diploma	M	30
Williams (S)	2016	Bachelor	F	55
Williams (S)	2016	Bachelor	M	21
Williams (S)	2016	Graduate Diploma and Graduate Certificate	F	15
Williams (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Williams (S)	2016	Postgraduate	F	3
Williams (S)	2016	Postgraduate	M	0
Wiluna (S)	2006		F	182
Wiluna (S)	2006		M	315
Wiluna (S)	2006	Certificate nfd	F	3
Wiluna (S)	2006	Certificate nfd	M	3
Wiluna (S)	2006	Certificate I and II Level	F	0
Wiluna (S)	2006	Certificate I and II Level	M	6
Wiluna (S)	2006	Certificate III and IV Level	F	5
Wiluna (S)	2006	Certificate III and IV Level	M	95
Wiluna (S)	2006	Advanced Diploma and Diploma	F	9
Wiluna (S)	2006	Advanced Diploma and Diploma	M	13
Wiluna (S)	2006	Bachelor	F	19
Wiluna (S)	2006	Bachelor	M	24
Wiluna (S)	2006	Graduate Diploma and Graduate Certificate	F	3
Wiluna (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Wiluna (S)	2006	Postgraduate	F	0
Wiluna (S)	2006	Postgraduate	M	3
Wiluna (S)	2011		F	249
Wiluna (S)	2011		M	454
Wiluna (S)	2011	Certificate nfd	F	3
Wiluna (S)	2011	Certificate nfd	M	11
Wiluna (S)	2011	Certificate I and II Level	F	4
Wiluna (S)	2011	Certificate I and II Level	M	3
Wiluna (S)	2011	Certificate III and IV Level	F	19
Wiluna (S)	2011	Certificate III and IV Level	M	241
Wiluna (S)	2011	Advanced Diploma and Diploma	F	23
Wiluna (S)	2011	Advanced Diploma and Diploma	M	33
Wiluna (S)	2011	Bachelor	F	36
Wiluna (S)	2011	Bachelor	M	54
Wiluna (S)	2011	Graduate Diploma and Graduate Certificate	F	5
Wiluna (S)	2011	Graduate Diploma and Graduate Certificate	M	7
Wiluna (S)	2011	Postgraduate	F	3
Wiluna (S)	2011	Postgraduate	M	12
Wiluna (S)	2016		F	175
Wiluna (S)	2016		M	313
Wiluna (S)	2016	Certificate nfd	F	4
Wiluna (S)	2016	Certificate nfd	M	9
Wiluna (S)	2016	Certificate I and II Level	F	6
Wiluna (S)	2016	Certificate I and II Level	M	7
Wiluna (S)	2016	Certificate III and IV Level	F	15
Wiluna (S)	2016	Certificate III and IV Level	M	127
Wiluna (S)	2016	Advanced Diploma and Diploma	F	6
Wiluna (S)	2016	Advanced Diploma and Diploma	M	22
Wiluna (S)	2016	Bachelor	F	31
Wiluna (S)	2016	Bachelor	M	25
Wiluna (S)	2016	Graduate Diploma and Graduate Certificate	F	0
Wiluna (S)	2016	Graduate Diploma and Graduate Certificate	M	3
Wiluna (S)	2016	Postgraduate	F	0
Wiluna (S)	2016	Postgraduate	M	4
Wongan-Ballidu (S)	2006		F	517
Wongan-Ballidu (S)	2006		M	516
Wongan-Ballidu (S)	2006	Certificate nfd	F	15
Wongan-Ballidu (S)	2006	Certificate nfd	M	6
Wongan-Ballidu (S)	2006	Certificate I and II Level	F	8
Wongan-Ballidu (S)	2006	Certificate I and II Level	M	3
Wongan-Ballidu (S)	2006	Certificate III and IV Level	F	34
Wongan-Ballidu (S)	2006	Certificate III and IV Level	M	120
Wongan-Ballidu (S)	2006	Advanced Diploma and Diploma	F	47
Wongan-Ballidu (S)	2006	Advanced Diploma and Diploma	M	28
Wongan-Ballidu (S)	2006	Bachelor	F	47
Wongan-Ballidu (S)	2006	Bachelor	M	24
Wongan-Ballidu (S)	2006	Graduate Diploma and Graduate Certificate	F	11
Wongan-Ballidu (S)	2006	Graduate Diploma and Graduate Certificate	M	3
Wongan-Ballidu (S)	2006	Postgraduate	F	0
Wongan-Ballidu (S)	2006	Postgraduate	M	7
Wongan-Ballidu (S)	2011		F	506
Wongan-Ballidu (S)	2011		M	540
Wongan-Ballidu (S)	2011	Certificate nfd	F	9
Wongan-Ballidu (S)	2011	Certificate nfd	M	3
Wongan-Ballidu (S)	2011	Certificate I and II Level	F	9
Wongan-Ballidu (S)	2011	Certificate I and II Level	M	4
Wongan-Ballidu (S)	2011	Certificate III and IV Level	F	54
Wongan-Ballidu (S)	2011	Certificate III and IV Level	M	146
Wongan-Ballidu (S)	2011	Advanced Diploma and Diploma	F	49
Wongan-Ballidu (S)	2011	Advanced Diploma and Diploma	M	25
Wongan-Ballidu (S)	2011	Bachelor	F	50
Wongan-Ballidu (S)	2011	Bachelor	M	13
Wongan-Ballidu (S)	2011	Graduate Diploma and Graduate Certificate	F	16
Wongan-Ballidu (S)	2011	Graduate Diploma and Graduate Certificate	M	3
Wongan-Ballidu (S)	2011	Postgraduate	F	3
Wongan-Ballidu (S)	2011	Postgraduate	M	3
Wongan-Ballidu (S)	2016		F	432
Wongan-Ballidu (S)	2016		M	486
Wongan-Ballidu (S)	2016	Certificate nfd	F	7
Wongan-Ballidu (S)	2016	Certificate nfd	M	7
Wongan-Ballidu (S)	2016	Certificate I and II Level	F	14
Wongan-Ballidu (S)	2016	Certificate I and II Level	M	3
Wongan-Ballidu (S)	2016	Certificate III and IV Level	F	56
Wongan-Ballidu (S)	2016	Certificate III and IV Level	M	155
Wongan-Ballidu (S)	2016	Advanced Diploma and Diploma	F	47
Wongan-Ballidu (S)	2016	Advanced Diploma and Diploma	M	18
Wongan-Ballidu (S)	2016	Bachelor	F	47
Wongan-Ballidu (S)	2016	Bachelor	M	30
Wongan-Ballidu (S)	2016	Graduate Diploma and Graduate Certificate	F	12
Wongan-Ballidu (S)	2016	Graduate Diploma and Graduate Certificate	M	5
Wongan-Ballidu (S)	2016	Postgraduate	F	6
Wongan-Ballidu (S)	2016	Postgraduate	M	4
Woodanilling (S)	2006		F	127
Woodanilling (S)	2006		M	182
Woodanilling (S)	2006	Certificate nfd	F	3
Woodanilling (S)	2006	Certificate nfd	M	0
Woodanilling (S)	2006	Certificate I and II Level	F	0
Woodanilling (S)	2006	Certificate I and II Level	M	0
Woodanilling (S)	2006	Certificate III and IV Level	F	13
Woodanilling (S)	2006	Certificate III and IV Level	M	21
Woodanilling (S)	2006	Advanced Diploma and Diploma	F	15
Woodanilling (S)	2006	Advanced Diploma and Diploma	M	10
Woodanilling (S)	2006	Bachelor	F	19
Woodanilling (S)	2006	Bachelor	M	4
Woodanilling (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Woodanilling (S)	2006	Graduate Diploma and Graduate Certificate	M	3
Woodanilling (S)	2006	Postgraduate	F	0
Woodanilling (S)	2006	Postgraduate	M	0
Woodanilling (S)	2011		F	142
Woodanilling (S)	2011		M	158
Woodanilling (S)	2011	Certificate nfd	F	8
Woodanilling (S)	2011	Certificate nfd	M	0
Woodanilling (S)	2011	Certificate I and II Level	F	3
Woodanilling (S)	2011	Certificate I and II Level	M	0
Woodanilling (S)	2011	Certificate III and IV Level	F	12
Woodanilling (S)	2011	Certificate III and IV Level	M	40
Woodanilling (S)	2011	Advanced Diploma and Diploma	F	17
Woodanilling (S)	2011	Advanced Diploma and Diploma	M	11
Woodanilling (S)	2011	Bachelor	F	18
Woodanilling (S)	2011	Bachelor	M	9
Woodanilling (S)	2011	Graduate Diploma and Graduate Certificate	F	0
Woodanilling (S)	2011	Graduate Diploma and Graduate Certificate	M	3
Woodanilling (S)	2011	Postgraduate	F	0
Woodanilling (S)	2011	Postgraduate	M	0
Woodanilling (S)	2016		F	120
Woodanilling (S)	2016		M	159
Woodanilling (S)	2016	Certificate nfd	F	5
Woodanilling (S)	2016	Certificate nfd	M	4
Woodanilling (S)	2016	Certificate I and II Level	F	6
Woodanilling (S)	2016	Certificate I and II Level	M	0
Woodanilling (S)	2016	Certificate III and IV Level	F	14
Woodanilling (S)	2016	Certificate III and IV Level	M	38
Woodanilling (S)	2016	Advanced Diploma and Diploma	F	17
Woodanilling (S)	2016	Advanced Diploma and Diploma	M	4
Woodanilling (S)	2016	Bachelor	F	21
Woodanilling (S)	2016	Bachelor	M	10
Woodanilling (S)	2016	Graduate Diploma and Graduate Certificate	F	8
Woodanilling (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Woodanilling (S)	2016	Postgraduate	F	3
Woodanilling (S)	2016	Postgraduate	M	0
Wyalkatchem (S)	2006		F	213
Wyalkatchem (S)	2006		M	227
Wyalkatchem (S)	2006	Certificate nfd	F	8
Wyalkatchem (S)	2006	Certificate nfd	M	3
Wyalkatchem (S)	2006	Certificate I and II Level	F	5
Wyalkatchem (S)	2006	Certificate I and II Level	M	0
Wyalkatchem (S)	2006	Certificate III and IV Level	F	8
Wyalkatchem (S)	2006	Certificate III and IV Level	M	36
Wyalkatchem (S)	2006	Advanced Diploma and Diploma	F	13
Wyalkatchem (S)	2006	Advanced Diploma and Diploma	M	3
Wyalkatchem (S)	2006	Bachelor	F	24
Wyalkatchem (S)	2006	Bachelor	M	7
Wyalkatchem (S)	2006	Graduate Diploma and Graduate Certificate	F	3
Wyalkatchem (S)	2006	Graduate Diploma and Graduate Certificate	M	3
Wyalkatchem (S)	2006	Postgraduate	F	3
Wyalkatchem (S)	2006	Postgraduate	M	3
Wyalkatchem (S)	2011		F	194
Wyalkatchem (S)	2011		M	217
Wyalkatchem (S)	2011	Certificate nfd	F	7
Wyalkatchem (S)	2011	Certificate nfd	M	0
Wyalkatchem (S)	2011	Certificate I and II Level	F	3
Wyalkatchem (S)	2011	Certificate I and II Level	M	0
Wyalkatchem (S)	2011	Certificate III and IV Level	F	22
Wyalkatchem (S)	2011	Certificate III and IV Level	M	36
Wyalkatchem (S)	2011	Advanced Diploma and Diploma	F	6
Wyalkatchem (S)	2011	Advanced Diploma and Diploma	M	3
Wyalkatchem (S)	2011	Bachelor	F	17
Wyalkatchem (S)	2011	Bachelor	M	11
Wyalkatchem (S)	2011	Graduate Diploma and Graduate Certificate	F	0
Wyalkatchem (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Wyalkatchem (S)	2011	Postgraduate	F	6
Wyalkatchem (S)	2011	Postgraduate	M	0
Wyalkatchem (S)	2016		F	169
Wyalkatchem (S)	2016		M	201
Wyalkatchem (S)	2016	Certificate nfd	F	4
Wyalkatchem (S)	2016	Certificate nfd	M	5
Wyalkatchem (S)	2016	Certificate I and II Level	F	3
Wyalkatchem (S)	2016	Certificate I and II Level	M	0
Wyalkatchem (S)	2016	Certificate III and IV Level	F	23
Wyalkatchem (S)	2016	Certificate III and IV Level	M	51
Wyalkatchem (S)	2016	Advanced Diploma and Diploma	F	15
Wyalkatchem (S)	2016	Advanced Diploma and Diploma	M	6
Wyalkatchem (S)	2016	Bachelor	F	20
Wyalkatchem (S)	2016	Bachelor	M	8
Wyalkatchem (S)	2016	Graduate Diploma and Graduate Certificate	F	4
Wyalkatchem (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Wyalkatchem (S)	2016	Postgraduate	F	0
Wyalkatchem (S)	2016	Postgraduate	M	0
Wyndham-East Kimberley (S)	2006		F	2429
Wyndham-East Kimberley (S)	2006		M	2600
