STE_NAME16	Year	Age	NonSchoolQualification	adults
Australian Capital Territory	2016	25-34	Certificate III and IV Level	8665
Australian Capital Territory	2016	25-34	Advanced Diploma and Diploma	6060
Australian Capital Territory	2016	25-34	Bachelor	21220
Australian Capital Territory	2016	25-34	Graduate Diploma and Graduate Certificate	2808
Australian Capital Territory	2016	25-34	Postgraduate	8475
Australian Capital Territory	2016	35-44		3982
Australian Capital Territory	2016	35-44	Certificate nfd	859
Australian Capital Territory	2016	35-44	Certificate I and II Level	497
Australian Capital Territory	2016	35-44	Certificate III and IV Level	7115
Australian Capital Territory	2016	35-44	Advanced Diploma and Diploma	6577
Australian Capital Territory	2016	35-44	Bachelor	16073
Australian Capital Territory	2016	35-44	Graduate Diploma and Graduate Certificate	3014
Australian Capital Territory	2016	35-44	Postgraduate	9761
Australian Capital Territory	2016	45-54		3580
Australian Capital Territory	2016	45-54	Certificate nfd	1032
Australian Capital Territory	2016	45-54	Certificate I and II Level	381
Australian Capital Territory	2016	45-54	Certificate III and IV Level	6215
Australian Capital Territory	2016	45-54	Advanced Diploma and Diploma	6170
Australian Capital Territory	2016	45-54	Bachelor	11230
Australian Capital Territory	2016	45-54	Graduate Diploma and Graduate Certificate	2963
Australian Capital Territory	2016	45-54	Postgraduate	7140
Australian Capital Territory	2016	55-64		3247
Australian Capital Territory	2016	55-64	Certificate nfd	1102
Australian Capital Territory	2016	55-64	Certificate I and II Level	295
Australian Capital Territory	2016	55-64	Certificate III and IV Level	4534
Australian Capital Territory	2016	55-64	Advanced Diploma and Diploma	4648
Australian Capital Territory	2016	55-64	Bachelor	8665
Australian Capital Territory	2016	55-64	Graduate Diploma and Graduate Certificate	2626
Australian Capital Territory	2016	55-64	Postgraduate	5070
Australian Capital Territory	2016	65-74		2965
Australian Capital Territory	2016	65-74	Certificate nfd	949
Australian Capital Territory	2016	65-74	Certificate I and II Level	186
Australian Capital Territory	2016	65-74	Certificate III and IV Level	2706
Australian Capital Territory	2016	65-74	Advanced Diploma and Diploma	2954
Australian Capital Territory	2016	65-74	Bachelor	5498
Australian Capital Territory	2016	65-74	Graduate Diploma and Graduate Certificate	1444
Australian Capital Territory	2016	65-74	Postgraduate	2841
Australian Capital Territory	2016	75-84		2269
Australian Capital Territory	2016	75-84	Certificate nfd	379
Australian Capital Territory	2016	75-84	Certificate I and II Level	79
Australian Capital Territory	2016	75-84	Certificate III and IV Level	1339
Australian Capital Territory	2016	75-84	Advanced Diploma and Diploma	1196
Australian Capital Territory	2016	75-84	Bachelor	2121
Australian Capital Territory	2016	75-84	Graduate Diploma and Graduate Certificate	280
Australian Capital Territory	2016	75-84	Postgraduate	914
Australian Capital Territory	2016	85+		1613
Australian Capital Territory	2016	85+	Certificate nfd	153
Australian Capital Territory	2016	85+	Certificate I and II Level	36
Australian Capital Territory	2016	85+	Certificate III and IV Level	427
Australian Capital Territory	2016	85+	Advanced Diploma and Diploma	396
Australian Capital Territory	2016	85+	Bachelor	653
Australian Capital Territory	2016	85+	Graduate Diploma and Graduate Certificate	39
Australian Capital Territory	2016	85+	Postgraduate	234
Other Territories	2006	15-19		21
Other Territories	2006	15-19	Certificate nfd	0
Other Territories	2006	15-19	Certificate I and II Level	3
Other Territories	2006	15-19	Certificate III and IV Level	3
Other Territories	2006	15-19	Advanced Diploma and Diploma	0
Other Territories	2006	15-19	Bachelor	0
Other Territories	2006	15-19	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	15-19	Postgraduate	0
Other Territories	2006	20-24		33
Other Territories	2006	20-24	Certificate nfd	3
Other Territories	2006	20-24	Certificate I and II Level	4
Other Territories	2006	20-24	Certificate III and IV Level	16
Other Territories	2006	20-24	Advanced Diploma and Diploma	8
Other Territories	2006	20-24	Bachelor	13
Other Territories	2006	20-24	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	20-24	Postgraduate	4
Other Territories	2006	25-34		50
Other Territories	2006	25-34	Certificate nfd	10
Other Territories	2006	25-34	Certificate I and II Level	8
Other Territories	2006	25-34	Certificate III and IV Level	53
Other Territories	2006	25-34	Advanced Diploma and Diploma	17
Other Territories	2006	25-34	Bachelor	37
Other Territories	2006	25-34	Graduate Diploma and Graduate Certificate	3
Other Territories	2006	25-34	Postgraduate	3
Other Territories	2006	35-44		52
Other Territories	2006	35-44	Certificate nfd	12
Other Territories	2006	35-44	Certificate I and II Level	9
Other Territories	2006	35-44	Certificate III and IV Level	74
Other Territories	2006	35-44	Advanced Diploma and Diploma	30
Other Territories	2006	35-44	Bachelor	47
Other Territories	2006	35-44	Graduate Diploma and Graduate Certificate	12
Other Territories	2006	35-44	Postgraduate	7
Other Territories	2006	45-54		55
Other Territories	2006	45-54	Certificate nfd	10
Other Territories	2006	45-54	Certificate I and II Level	4
Other Territories	2006	45-54	Certificate III and IV Level	69
Other Territories	2006	45-54	Advanced Diploma and Diploma	19
Other Territories	2006	45-54	Bachelor	28
Other Territories	2006	45-54	Graduate Diploma and Graduate Certificate	8
Other Territories	2006	45-54	Postgraduate	5
Other Territories	2006	55-64		46
Other Territories	2006	55-64	Certificate nfd	3
Other Territories	2006	55-64	Certificate I and II Level	0
Other Territories	2006	55-64	Certificate III and IV Level	27
Other Territories	2006	55-64	Advanced Diploma and Diploma	16
Other Territories	2006	55-64	Bachelor	14
Other Territories	2006	55-64	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	55-64	Postgraduate	3
Other Territories	2006	65-74		22
Other Territories	2006	65-74	Certificate nfd	0
Other Territories	2006	65-74	Certificate I and II Level	0
Other Territories	2006	65-74	Certificate III and IV Level	6
Other Territories	2006	65-74	Advanced Diploma and Diploma	0
Other Territories	2006	65-74	Bachelor	0
Other Territories	2006	65-74	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	65-74	Postgraduate	0
Other Territories	2006	75-84		3
Other Territories	2006	75-84	Certificate nfd	0
Other Territories	2006	75-84	Certificate I and II Level	0
Other Territories	2006	75-84	Certificate III and IV Level	0
Other Territories	2006	75-84	Advanced Diploma and Diploma	0
Other Territories	2006	75-84	Bachelor	0
Other Territories	2006	75-84	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	75-84	Postgraduate	0
Other Territories	2006	85+		0
Other Territories	2006	85+	Certificate nfd	0
Other Territories	2006	85+	Certificate I and II Level	0
Other Territories	2006	85+	Certificate III and IV Level	0
Other Territories	2006	85+	Advanced Diploma and Diploma	0
Other Territories	2006	85+	Bachelor	0
Other Territories	2006	85+	Graduate Diploma and Graduate Certificate	0
Other Territories	2006	85+	Postgraduate	0
Other Territories	2011	15-19		56
Other Territories	2011	15-19	Certificate nfd	0
Other Territories	2011	15-19	Certificate I and II Level	10
Other Territories	2011	15-19	Certificate III and IV Level	6
Other Territories	2011	15-19	Advanced Diploma and Diploma	0
Other Territories	2011	15-19	Bachelor	0
Other Territories	2011	15-19	Graduate Diploma and Graduate Certificate	0
Other Territories	2011	15-19	Postgraduate	0
Other Territories	2011	20-24		152
Other Territories	2011	20-24	Certificate nfd	0
Other Territories	2011	20-24	Certificate I and II Level	3
Other Territories	2011	20-24	Certificate III and IV Level	23
Other Territories	2011	20-24	Advanced Diploma and Diploma	3
Other Territories	2011	20-24	Bachelor	15
Other Territories	2011	20-24	Graduate Diploma and Graduate Certificate	0
Other Territories	2011	20-24	Postgraduate	0
Other Territories	2011	25-34		467
Other Territories	2011	25-34	Certificate nfd	3
Other Territories	2011	25-34	Certificate I and II Level	10
Other Territories	2011	25-34	Certificate III and IV Level	59
Other Territories	2011	25-34	Advanced Diploma and Diploma	30
Other Territories	2011	25-34	Bachelor	45
Other Territories	2011	25-34	Graduate Diploma and Graduate Certificate	10
Other Territories	2011	25-34	Postgraduate	11
Other Territories	2011	35-44		158
Other Territories	2011	35-44	Certificate nfd	3
Other Territories	2011	35-44	Certificate I and II Level	3
Other Territories	2011	35-44	Certificate III and IV Level	57
Other Territories	2011	35-44	Advanced Diploma and Diploma	35
Other Territories	2011	35-44	Bachelor	62
Other Territories	2011	35-44	Graduate Diploma and Graduate Certificate	13
Other Territories	2011	35-44	Postgraduate	11
Other Territories	2011	45-54		84
Other Territories	2011	45-54	Certificate nfd	3
Other Territories	2011	45-54	Certificate I and II Level	12
Other Territories	2011	45-54	Certificate III and IV Level	78
Other Territories	2011	45-54	Advanced Diploma and Diploma	37
Other Territories	2011	45-54	Bachelor	32
Other Territories	2011	45-54	Graduate Diploma and Graduate Certificate	14
Other Territories	2011	45-54	Postgraduate	7
Other Territories	2011	55-64		62
Other Territories	2011	55-64	Certificate nfd	0
Other Territories	2011	55-64	Certificate I and II Level	3
Other Territories	2011	55-64	Certificate III and IV Level	47
Other Territories	2011	55-64	Advanced Diploma and Diploma	23
Other Territories	2011	55-64	Bachelor	13
Other Territories	2011	55-64	Graduate Diploma and Graduate Certificate	3
Other Territories	2011	55-64	Postgraduate	3
Other Territories	2011	65-74		14
Other Territories	2011	65-74	Certificate nfd	0
Other Territories	2011	65-74	Certificate I and II Level	0
Other Territories	2011	65-74	Certificate III and IV Level	13
Other Territories	2011	65-74	Advanced Diploma and Diploma	4
Other Territories	2011	65-74	Bachelor	0
Other Territories	2011	65-74	Graduate Diploma and Graduate Certificate	0
Other Territories	2011	65-74	Postgraduate	0
Other Territories	2011	75-84		12
Other Territories	2011	75-84	Certificate nfd	0
Other Territories	2011	75-84	Certificate I and II Level	0
Other Territories	2011	75-84	Certificate III and IV Level	0
Other Territories	2011	75-84	Advanced Diploma and Diploma	0
Other Territories	2011	75-84	Bachelor	0
Other Territories	2011	75-84	Graduate Diploma and Graduate Certificate	0
Other Territories	2011	75-84	Postgraduate	0
Other Territories	2011	85+		0
Other Territories	2011	85+	Certificate nfd	0
Other Territories	2011	85+	Certificate I and II Level	0
Other Territories	2011	85+	Certificate III and IV Level	0
Other Territories	2011	85+	Advanced Diploma and Diploma	0
Other Territories	2011	85+	Bachelor	0
Other Territories	2011	85+	Graduate Diploma and Graduate Certificate	0
Other Territories	2011	85+	Postgraduate	0
Other Territories	2016	15-19		46
Other Territories	2016	15-19	Certificate nfd	0
Other Territories	2016	15-19	Certificate I and II Level	7
Other Territories	2016	15-19	Certificate III and IV Level	14
Other Territories	2016	15-19	Advanced Diploma and Diploma	0
Other Territories	2016	15-19	Bachelor	0
Other Territories	2016	15-19	Graduate Diploma and Graduate Certificate	0
Other Territories	2016	15-19	Postgraduate	0
Other Territories	2016	20-24		78
Other Territories	2016	20-24	Certificate nfd	8
Other Territories	2016	20-24	Certificate I and II Level	7
Other Territories	2016	20-24	Certificate III and IV Level	23
Other Territories	2016	20-24	Advanced Diploma and Diploma	6
Other Territories	2016	20-24	Bachelor	14
Other Territories	2016	20-24	Graduate Diploma and Graduate Certificate	4
Other Territories	2016	20-24	Postgraduate	0
Other Territories	2016	25-34		179
Other Territories	2016	25-34	Certificate nfd	13
Other Territories	2016	25-34	Certificate I and II Level	14
Other Territories	2016	25-34	Certificate III and IV Level	94
Other Territories	2016	25-34	Advanced Diploma and Diploma	50
Other Territories	2016	25-34	Bachelor	68
Other Territories	2016	25-34	Graduate Diploma and Graduate Certificate	9
Other Territories	2016	25-34	Postgraduate	11
Other Territories	2016	35-44		133
Other Territories	2016	35-44	Certificate nfd	20
Other Territories	2016	35-44	Certificate I and II Level	14
Other Territories	2016	35-44	Certificate III and IV Level	116
Other Territories	2016	35-44	Advanced Diploma and Diploma	71
Other Territories	2016	35-44	Bachelor	86
Other Territories	2016	35-44	Graduate Diploma and Graduate Certificate	18
Other Territories	2016	35-44	Postgraduate	25
Other Territories	2016	45-54		159
Other Territories	2016	45-54	Certificate nfd	20
Other Territories	2016	45-54	Certificate I and II Level	7
Other Territories	2016	45-54	Certificate III and IV Level	146
Other Territories	2016	45-54	Advanced Diploma and Diploma	61
Other Territories	2016	45-54	Bachelor	42
Other Territories	2016	45-54	Graduate Diploma and Graduate Certificate	13
Other Territories	2016	45-54	Postgraduate	11
Other Territories	2016	55-64		130
Other Territories	2016	55-64	Certificate nfd	21
Other Territories	2016	55-64	Certificate I and II Level	8
Other Territories	2016	55-64	Certificate III and IV Level	132
Other Territories	2016	55-64	Advanced Diploma and Diploma	54
Other Territories	2016	55-64	Bachelor	64
Other Territories	2016	55-64	Graduate Diploma and Graduate Certificate	7
Other Territories	2016	55-64	Postgraduate	13
Other Territories	2016	65-74		89
Other Territories	2016	65-74	Certificate nfd	16
Other Territories	2016	65-74	Certificate I and II Level	8
Other Territories	2016	65-74	Certificate III and IV Level	57
Other Territories	2016	65-74	Advanced Diploma and Diploma	22
Other Territories	2016	65-74	Bachelor	33
Other Territories	2016	65-74	Graduate Diploma and Graduate Certificate	6
Other Territories	2016	65-74	Postgraduate	7
Other Territories	2016	75-84		57
Other Territories	2016	75-84	Certificate nfd	4
Other Territories	2016	75-84	Certificate I and II Level	0
Other Territories	2016	75-84	Certificate III and IV Level	18
Other Territories	2016	75-84	Advanced Diploma and Diploma	7
Other Territories	2016	75-84	Bachelor	5
Other Territories	2016	75-84	Graduate Diploma and Graduate Certificate	0
Other Territories	2016	75-84	Postgraduate	5
Other Territories	2016	85+		11
Other Territories	2016	85+	Certificate nfd	3
Other Territories	2016	85+	Certificate I and II Level	0
Other Territories	2016	85+	Certificate III and IV Level	3
Other Territories	2016	85+	Advanced Diploma and Diploma	3
Other Territories	2016	85+	Bachelor	5
Other Territories	2016	85+	Graduate Diploma and Graduate Certificate	0
Other Territories	2016	85+	Postgraduate	0
