SA3_NAME16	Year	Sex	employmentToPopulation
Latrobe Valley	2006	M	58.5
Latrobe Valley	2011	F	46.7
Latrobe Valley	2011	M	57.4
Latrobe Valley	2016	F	45.6
Latrobe Valley	2016	M	52.9
Wellington	2006	F	48.3
Wellington	2006	M	58
Wellington	2011	F	49
Wellington	2011	M	57.6
Wellington	2016	F	48.5
Wellington	2016	M	53
Brunswick - Coburg	2006	F	54.4
Brunswick - Coburg	2006	M	61.1
Brunswick - Coburg	2011	F	58.8
Brunswick - Coburg	2011	M	64.6
Brunswick - Coburg	2016	F	61.2
Brunswick - Coburg	2016	M	66.2
Darebin - South	2006	F	57.3
Darebin - South	2006	M	63.2
Darebin - South	2011	F	61.7
Darebin - South	2011	M	66.8
Darebin - South	2016	F	63.2
Darebin - South	2016	M	66.8
Essendon	2006	F	54.6
Essendon	2006	M	63.1
Essendon	2011	F	58.3
Essendon	2011	M	66.3
Essendon	2016	F	58.8
Essendon	2016	M	65.5
Melbourne City	2006	F	51.5
Melbourne City	2006	M	54.8
Melbourne City	2011	F	53.6
Melbourne City	2011	M	58.5
Melbourne City	2016	F	48.1
Melbourne City	2016	M	54.5
Port Phillip	2006	F	60.8
Port Phillip	2006	M	63.9
Port Phillip	2011	F	65.7
Port Phillip	2011	M	69.5
Port Phillip	2016	F	62.8
Port Phillip	2016	M	66.9
Stonnington - West	2006	F	56.9
Stonnington - West	2006	M	65.2
Stonnington - West	2011	F	59
Stonnington - West	2011	M	68.4
Stonnington - West	2016	F	59.6
Stonnington - West	2016	M	67.9
Yarra	2006	F	61
Yarra	2006	M	63.9
Yarra	2011	F	63.9
Yarra	2011	M	68
Yarra	2016	F	64
Yarra	2016	M	68.1
Boroondara	2006	F	55.3
Boroondara	2006	M	67
Boroondara	2011	F	56.1
Boroondara	2011	M	66.6
Boroondara	2016	F	55.2
Boroondara	2016	M	64.2
Manningham - West	2006	F	50.2
Manningham - West	2006	M	62.6
Manningham - West	2011	F	49.7
Manningham - West	2011	M	61.2
Manningham - West	2016	F	47.5
Manningham - West	2016	M	58
Whitehorse - West	2006	F	50.7
Whitehorse - West	2006	M	62.7
Whitehorse - West	2011	F	50.9
Whitehorse - West	2011	M	60.8
Whitehorse - West	2016	F	50.1
Whitehorse - West	2016	M	58.5
Bayside	2006	F	52
Bayside	2006	M	66.7
Bayside	2011	F	53.2
Bayside	2011	M	66
Bayside	2016	F	53.4
Bayside	2016	M	64.2
Glen Eira	2006	F	53.9
Glen Eira	2006	M	64.6
Glen Eira	2011	F	56.5
Glen Eira	2011	M	66.7
Glen Eira	2016	F	56.2
Glen Eira	2016	M	65.2
Kingston	2006	F	53.3
Kingston	2006	M	66
Kingston	2011	F	56.1
Kingston	2011	M	66.9
Kingston	2016	F	56.9
Kingston	2016	M	65.4
Stonnington - East	2006	F	54.3
Stonnington - East	2006	M	66.3
Stonnington - East	2011	F	57
Stonnington - East	2011	M	67.7
Stonnington - East	2016	F	55.2
Stonnington - East	2016	M	65.1
Banyule	2006	F	54
Banyule	2006	M	65.4
Banyule	2011	F	55.6
Banyule	2011	M	65.5
