SA3_NAME16	Year	CountryOfBirth	Sex	persons
South Coast	2006	THA	M	4
South Coast	2006	TUR	F	6
South Coast	2006	TUR	M	4
South Coast	2006	USA	F	91
South Coast	2006	USA	M	85
South Coast	2006	VNM	F	26
South Coast	2006	VNM	M	31
South Coast	2006	ZAF	F	68
South Coast	2006	ZAF	M	60
South Coast	2006	ZWE	F	15
South Coast	2006	ZWE	M	8
South Coast	2011		F	2415
South Coast	2011		M	2501
South Coast	2011	AUS	F	28093
South Coast	2011	AUS	M	27192
South Coast	2011	CAN	F	59
South Coast	2011	CAN	M	51
South Coast	2011	CHN	F	33
South Coast	2011	CHN	M	26
South Coast	2011	DEU	F	329
South Coast	2011	DEU	M	266
South Coast	2011	EGY	F	4
South Coast	2011	EGY	M	20
South Coast	2011	FJI	F	18
South Coast	2011	FJI	M	9
South Coast	2011	GBR	F	2020
South Coast	2011	GBR	M	1931
South Coast	2011	GRC	F	26
South Coast	2011	GRC	M	39
South Coast	2011	HKG	F	16
South Coast	2011	HKG	M	3
South Coast	2011	HRV	F	73
South Coast	2011	HRV	M	86
South Coast	2011	IDN	F	23
South Coast	2011	IDN	M	14
South Coast	2011	IND	F	19
South Coast	2011	IND	M	35
South Coast	2011	IRL	F	69
South Coast	2011	IRL	M	61
South Coast	2011	IRN	F	8
South Coast	2011	IRN	M	4
South Coast	2011	IRQ	F	0
South Coast	2011	IRQ	M	0
South Coast	2011	ITA	F	57
South Coast	2011	ITA	M	116
South Coast	2011	JPN	F	26
South Coast	2011	JPN	M	11
South Coast	2011	KOR	F	9
South Coast	2011	KOR	M	3
South Coast	2011	LBN	F	7
South Coast	2011	LBN	M	10
South Coast	2011	LKA	F	4
South Coast	2011	LKA	M	12
South Coast	2011	MKD	F	4
South Coast	2011	MKD	M	6
South Coast	2011	MLT	F	37
South Coast	2011	MLT	M	59
South Coast	2011	MYS	F	27
South Coast	2011	MYS	M	20
South Coast	2011	NLD	F	220
South Coast	2011	NLD	M	207
South Coast	2011	NZL	F	423
South Coast	2011	NZL	M	397
South Coast	2011	PAK	F	4
South Coast	2011	PAK	M	0
South Coast	2011	PHL	F	138
South Coast	2011	PHL	M	21
South Coast	2011	POL	F	29
South Coast	2011	POL	M	28
South Coast	2011	SGP	F	18
South Coast	2011	SGP	M	10
South Coast	2011	THA	F	38
South Coast	2011	THA	M	10
South Coast	2011	TUR	F	3
South Coast	2011	TUR	M	3
South Coast	2011	USA	F	140
South Coast	2011	USA	M	101
South Coast	2011	VNM	F	27
South Coast	2011	VNM	M	28
South Coast	2011	ZAF	F	79
South Coast	2011	ZAF	M	84
South Coast	2011	ZWE	F	17
South Coast	2011	ZWE	M	11
South Coast	2016		F	3787
South Coast	2016		M	3625
South Coast	2016	AUS	F	28230
South Coast	2016	AUS	M	27216
South Coast	2016	CAN	F	66
South Coast	2016	CAN	M	58
South Coast	2016	CHN	F	40
South Coast	2016	CHN	M	29
South Coast	2016	DEU	F	307
South Coast	2016	DEU	M	253
South Coast	2016	EGY	F	15
South Coast	2016	EGY	M	13
South Coast	2016	FJI	F	22
South Coast	2016	FJI	M	10
South Coast	2016	GBR	F	1942
South Coast	2016	GBR	M	1918
South Coast	2016	GRC	F	27
South Coast	2016	GRC	M	41
South Coast	2016	HKG	F	17
South Coast	2016	HKG	M	5
South Coast	2016	HRV	F	58
South Coast	2016	HRV	M	60
South Coast	2016	IDN	F	32
South Coast	2016	IDN	M	14
South Coast	2016	IND	F	57
South Coast	2016	IND	M	60
South Coast	2016	IRL	F	69
South Coast	2016	IRL	M	71
South Coast	2016	IRN	F	5
South Coast	2016	IRN	M	5
South Coast	2016	IRQ	F	0
South Coast	2016	IRQ	M	0
South Coast	2016	ITA	F	48
South Coast	2016	ITA	M	112
South Coast	2016	JPN	F	25
South Coast	2016	JPN	M	11
South Coast	2016	KOR	F	16
South Coast	2016	KOR	M	8
South Coast	2016	LBN	F	3
South Coast	2016	LBN	M	9
South Coast	2016	LKA	F	7
South Coast	2016	LKA	M	14
South Coast	2016	MKD	F	9
South Coast	2016	MKD	M	10
South Coast	2016	MLT	F	38
South Coast	2016	MLT	M	50
South Coast	2016	MYS	F	34
South Coast	2016	MYS	M	20
South Coast	2016	NLD	F	192
South Coast	2016	NLD	M	199
South Coast	2016	NZL	F	415
South Coast	2016	NZL	M	412
South Coast	2016	PAK	F	5
South Coast	2016	PAK	M	0
South Coast	2016	PHL	F	182
South Coast	2016	PHL	M	39
South Coast	2016	POL	F	28
South Coast	2016	POL	M	26
South Coast	2016	SGP	F	14
South Coast	2016	SGP	M	17
South Coast	2016	THA	F	65
South Coast	2016	THA	M	18
South Coast	2016	TUR	F	4
South Coast	2016	TUR	M	3
South Coast	2016	USA	F	136
South Coast	2016	USA	M	116
South Coast	2016	VNM	F	31
South Coast	2016	VNM	M	23
South Coast	2016	ZAF	F	101
South Coast	2016	ZAF	M	109
South Coast	2016	ZWE	F	13
South Coast	2016	ZWE	M	8
Goulburn - Mulwaree	2006		F	1129
Goulburn - Mulwaree	2006		M	1215
Goulburn - Mulwaree	2006	AUS	F	13767
Goulburn - Mulwaree	2006	AUS	M	13940
Goulburn - Mulwaree	2006	CAN	F	9
Goulburn - Mulwaree	2006	CAN	M	9
Goulburn - Mulwaree	2006	CHN	F	11
Goulburn - Mulwaree	2006	CHN	M	12
Goulburn - Mulwaree	2006	DEU	F	59
Goulburn - Mulwaree	2006	DEU	M	48
Goulburn - Mulwaree	2006	EGY	F	6
Goulburn - Mulwaree	2006	EGY	M	16
Goulburn - Mulwaree	2006	FJI	F	9
Goulburn - Mulwaree	2006	FJI	M	10
Goulburn - Mulwaree	2006	GBR	F	465
Goulburn - Mulwaree	2006	GBR	M	466
Goulburn - Mulwaree	2006	GRC	F	15
Goulburn - Mulwaree	2006	GRC	M	38
Goulburn - Mulwaree	2006	HKG	F	7
Goulburn - Mulwaree	2006	HKG	M	3
Goulburn - Mulwaree	2006	HRV	F	9
Goulburn - Mulwaree	2006	HRV	M	7
Goulburn - Mulwaree	2006	IDN	F	11
Goulburn - Mulwaree	2006	IDN	M	5
Goulburn - Mulwaree	2006	IND	F	8
Goulburn - Mulwaree	2006	IND	M	15
Goulburn - Mulwaree	2006	IRL	F	12
Goulburn - Mulwaree	2006	IRL	M	24
Goulburn - Mulwaree	2006	IRN	F	0
Goulburn - Mulwaree	2006	IRN	M	0
Goulburn - Mulwaree	2006	IRQ	F	0
Goulburn - Mulwaree	2006	IRQ	M	5
Goulburn - Mulwaree	2006	ITA	F	19
Goulburn - Mulwaree	2006	ITA	M	39
Goulburn - Mulwaree	2006	JPN	F	0
Goulburn - Mulwaree	2006	JPN	M	0
Goulburn - Mulwaree	2006	KOR	F	0
Goulburn - Mulwaree	2006	KOR	M	3
Goulburn - Mulwaree	2006	LBN	F	0
Goulburn - Mulwaree	2006	LBN	M	24
Goulburn - Mulwaree	2006	LKA	F	0
Goulburn - Mulwaree	2006	LKA	M	0
Goulburn - Mulwaree	2006	MKD	F	4
Goulburn - Mulwaree	2006	MKD	M	10
Goulburn - Mulwaree	2006	MLT	F	6
Goulburn - Mulwaree	2006	MLT	M	17
Goulburn - Mulwaree	2006	MYS	F	14
Goulburn - Mulwaree	2006	MYS	M	3
Goulburn - Mulwaree	2006	NLD	F	44
Goulburn - Mulwaree	2006	NLD	M	52
Goulburn - Mulwaree	2006	NZL	F	126
Goulburn - Mulwaree	2006	NZL	M	142
Goulburn - Mulwaree	2006	PAK	F	0
Goulburn - Mulwaree	2006	PAK	M	3
Goulburn - Mulwaree	2006	PHL	F	40
Goulburn - Mulwaree	2006	PHL	M	18
Goulburn - Mulwaree	2006	POL	F	7
Goulburn - Mulwaree	2006	POL	M	7
Goulburn - Mulwaree	2006	SGP	F	3
Goulburn - Mulwaree	2006	SGP	M	5
Goulburn - Mulwaree	2006	THA	F	8
Goulburn - Mulwaree	2006	THA	M	3
Goulburn - Mulwaree	2006	TUR	F	3
Goulburn - Mulwaree	2006	TUR	M	8
Goulburn - Mulwaree	2006	USA	F	19
Goulburn - Mulwaree	2006	USA	M	18
Goulburn - Mulwaree	2006	VNM	F	7
Goulburn - Mulwaree	2006	VNM	M	31
Goulburn - Mulwaree	2006	ZAF	F	23
Goulburn - Mulwaree	2006	ZAF	M	16
Goulburn - Mulwaree	2006	ZWE	F	5
Goulburn - Mulwaree	2006	ZWE	M	0
Goulburn - Mulwaree	2011		F	977
Goulburn - Mulwaree	2011		M	1064
Goulburn - Mulwaree	2011	AUS	F	14352
Goulburn - Mulwaree	2011	AUS	M	14424
Goulburn - Mulwaree	2011	CAN	F	10
Goulburn - Mulwaree	2011	CAN	M	17
Goulburn - Mulwaree	2011	CHN	F	30
Goulburn - Mulwaree	2011	CHN	M	22
Goulburn - Mulwaree	2011	DEU	F	58
Goulburn - Mulwaree	2011	DEU	M	60
Goulburn - Mulwaree	2011	EGY	F	9
