SA2_NAME16	Year	labourForceParticipation
Tamworth Region	2016	58.2
Belmont - Bennetts Green	2006	56.1
Belmont - Bennetts Green	2011	57.8
Belmont - Bennetts Green	2016	56.7
Belmont South - Blacksmiths	2006	47.4
Belmont South - Blacksmiths	2011	51.1
Belmont South - Blacksmiths	2016	51.5
Charlestown - Dudley	2006	58.2
Charlestown - Dudley	2011	60.5
Charlestown - Dudley	2016	60.7
Glendale - Cardiff - Hillsborough	2006	61.4
Glendale - Cardiff - Hillsborough	2011	62.6
Glendale - Cardiff - Hillsborough	2016	61.9
Mount Hutton - Windale	2006	50.2
Mount Hutton - Windale	2011	50.8
Mount Hutton - Windale	2016	50
Redhead	2006	54.1
Redhead	2011	57.6
Redhead	2016	55.6
Swansea - Caves Beach	2006	48.8
Swansea - Caves Beach	2011	50.8
Swansea - Caves Beach	2016	51.4
Valentine - Eleebana	2006	64.7
Valentine - Eleebana	2011	64
Valentine - Eleebana	2016	61
Warners Bay - Boolaroo	2006	57.4
Warners Bay - Boolaroo	2011	59.9
Warners Bay - Boolaroo	2016	58.8
Bolton Point - Teralba	2006	51.6
Bolton Point - Teralba	2011	51.4
Bolton Point - Teralba	2016	52.5
Bonnells Bay - Silverwater	2006	53.8
Bonnells Bay - Silverwater	2011	55.5
Bonnells Bay - Silverwater	2016	54.8
Edgeworth - Cameron Park	2006	61.2
Edgeworth - Cameron Park	2011	63.7
Edgeworth - Cameron Park	2016	65.3
Morisset - Cooranbong	2006	47
Morisset - Cooranbong	2011	48.5
Morisset - Cooranbong	2016	48.5
Toronto - Awaba	2006	50.5
Toronto - Awaba	2011	51.6
Toronto - Awaba	2016	50.9
Wangi Wangi - Rathmines	2006	56.1
Wangi Wangi - Rathmines	2011	57.1
Wangi Wangi - Rathmines	2016	54.3
West Wallsend - Barnsley - Killingworth	2006	63.9
West Wallsend - Barnsley - Killingworth	2011	65.4
West Wallsend - Barnsley - Killingworth	2016	62.7
Adamstown - Kotara	2006	58.5
Adamstown - Kotara	2011	63.5
Adamstown - Kotara	2016	64.7
Beresfield - Hexham	2006	54
Beresfield - Hexham	2011	53.5
Beresfield - Hexham	2016	52.7
Hamilton - Broadmeadow	2006	56.9
Hamilton - Broadmeadow	2011	59.6
Hamilton - Broadmeadow	2016	61.1
Lambton - New Lambton	2006	60.3
Lambton - New Lambton	2011	63.4
Lambton - New Lambton	2016	63.8
Maryland - Fletcher - Minmi	2006	69.9
Maryland - Fletcher - Minmi	2011	70.2
Maryland - Fletcher - Minmi	2016	69.4
Mayfield - Warabrook	2006	54.1
Mayfield - Warabrook	2011	58
Mayfield - Warabrook	2016	60.2
Merewether - The Junction	2006	65.1
Merewether - The Junction	2011	67.6
Merewether - The Junction	2016	66.6
Newcastle - Cooks Hill	2006	62.1
Newcastle - Cooks Hill	2011	67.3
Newcastle - Cooks Hill	2016	65.2
Newcastle Port - Kooragang	2006	100
Newcastle Port - Kooragang	2011	57.1
Newcastle Port - Kooragang	2016	33.3
Shortland - Jesmond	2006	45.3
Shortland - Jesmond	2011	48.1
Shortland - Jesmond	2016	50.4
Stockton - Fullerton Cove	2006	42.4
Stockton - Fullerton Cove	2011	46.7
Stockton - Fullerton Cove	2016	45.4
Wallsend - Elermore Vale	2006	56.6
Wallsend - Elermore Vale	2011	56.7
Wallsend - Elermore Vale	2016	55.1
Waratah - North Lambton	2006	52.6
Waratah - North Lambton	2011	56.1
Waratah - North Lambton	2016	59
Wickham - Carrington - Tighes Hill	2006	57.1
Wickham - Carrington - Tighes Hill	2011	64.2
Wickham - Carrington - Tighes Hill	2016	66.7
Ballina	2006	48.4
Ballina	2011	47.7
Ballina	2016	45.8
Ballina Region	2006	59.7
Ballina Region	2011	58.1
Ballina Region	2016	56.2
Bangalow	2006	61.1
Bangalow	2011	61
Bangalow	2016	58.9
Brunswick Heads - Ocean Shores	2006	53
Brunswick Heads - Ocean Shores	2011	56.9
Brunswick Heads - Ocean Shores	2016	54.8
Byron Bay	2006	58
Byron Bay	2011	59.2
Byron Bay	2016	56.1
Evans Head	2006	47.5
Evans Head	2011	48
Evans Head	2016	47.8
Lennox Head - Skennars Head	2006	67.2
Lennox Head - Skennars Head	2011	65.2
Lennox Head - Skennars Head	2016	64.1
Mullumbimby	2006	53.4
Mullumbimby	2011	54.9
Mullumbimby	2016	51.9
Casino	2006	51
Casino	2011	49.3
Casino	2016	47.4
Casino Region	2006	54
Casino Region	2011	53.1
Casino Region	2016	50.4
Goonellabah	2006	57.6
Goonellabah	2011	58.3
Goonellabah	2016	55.1
Kyogle	2006	52.4
Kyogle	2011	51.3
Kyogle	2016	47.8
Lismore	2006	55.1
Lismore	2011	55.7
Lismore	2016	52.9
Lismore Region	2006	63
Lismore Region	2011	62.4
Lismore Region	2016	58.8
Kingscliff - Fingal Head	2006	48.8
Kingscliff - Fingal Head	2011	53.3
Kingscliff - Fingal Head	2016	54.3
Murwillumbah	2006	48.7
Murwillumbah	2011	48.9
Murwillumbah	2016	48.6
Murwillumbah Region	2006	56.7
Murwillumbah Region	2011	55.6
Murwillumbah Region	2016	52.9
Pottsville	2006	54.7
Pottsville	2011	57.4
Pottsville	2016	56.3
Tweed Heads	2006	43.3
Tweed Heads	2011	48.1
Tweed Heads	2016	47.2
Banora Point	2006	50.2
Banora Point	2011	50.5
Banora Point	2016	50.3
Terranora - North Tumblegum	2006	65.6
Terranora - North Tumblegum	2011	64.5
Terranora - North Tumblegum	2016	64.1
Tweed Heads South	2006	34.5
Tweed Heads South	2011	37.6
Tweed Heads South	2016	39.5
Griffith (NSW)	2006	60
Griffith (NSW)	2011	59.9
Griffith (NSW)	2016	59
Griffith Region	2006	67.2
Griffith Region	2011	67.6
Griffith Region	2016	64
Leeton	2006	59.6
Leeton	2011	57.5
Leeton	2016	55.8
Narrandera	2006	56.3
Narrandera	2011	55.4
Narrandera	2016	52.7
Tumbarumba	2006	57.3
Tumbarumba	2011	56.3
Tumbarumba	2016	52.8
Tumut	2006	54.6
Tumut	2011	57.7
Tumut	2016	52.2
Tumut Region	2006	62.4
Tumut Region	2011	60.3
Tumut Region	2016	56.3
Cootamundra	2006	52.9
Cootamundra	2011	49.9
Cootamundra	2016	47.7
Gundagai	2006	61.5
Gundagai	2011	60.8
Gundagai	2016	57.7
Junee	2006	47.6
Junee	2011	47.4
Junee	2016	46.9
Temora	2006	55.6
Temora	2011	53.6
Temora	2016	52.5
Wagga Wagga - East	2006	67.2
Wagga Wagga - East	2011	65.9
Wagga Wagga - East	2016	63.4
Wagga Wagga - North	2006	59.4
Wagga Wagga - North	2011	58.8
Wagga Wagga - North	2016	65.4
Wagga Wagga - South	2006	64.3
Wagga Wagga - South	2011	65.7
Wagga Wagga - South	2016	63.8
Wagga Wagga - West	2006	62.5
Wagga Wagga - West	2011	61
Wagga Wagga - West	2016	59.3
Wagga Wagga Region	2006	66.6
Wagga Wagga Region	2011	65.8
Wagga Wagga Region	2016	62.4
Berry - Kangaroo Valley	2006	50.7
Berry - Kangaroo Valley	2011	50.1
Berry - Kangaroo Valley	2016	47.2
Callala Bay - Currarong	2006	43.6
Callala Bay - Currarong	2011	45.1
Callala Bay - Currarong	2016	43.9
Culburra Beach	2006	42.3
Culburra Beach	2011	43.4
Culburra Beach	2016	43.3
Ettrema - Sassafras - Budawang	2006	0
Ettrema - Sassafras - Budawang	2011	26.5
Ettrema - Sassafras - Budawang	2016	59.5
Huskisson - Vincentia	2006	47
Huskisson - Vincentia	2011	46.7
Huskisson - Vincentia	2016	48.5
North Nowra - Bomaderry	2006	56.5
North Nowra - Bomaderry	2011	56.2
