SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
311011305,0,0,0,0,0,0,5,12,11,3,18,30,74,119,89,75,135,51,27,7,7,4,76,730,35,21,27,45,156,189,412,291,724,456,378,174,189,87,408,3586
311021306,0,0,0,0,0,0,11,10,8,3,17,31,41,87,79,68,112,53,18,11,6,3,63,617,17,8,23,39,78,118,213,171,398,266,204,108,69,31,208,1954
311021307,0,0,0,0,0,0,4,15,15,7,40,41,69,154,149,121,190,62,33,15,11,3,80,994,30,12,47,57,147,214,544,362,795,422,290,104,75,31,309,3452
311021308,0,0,0,0,0,0,3,3,4,6,11,14,31,57,58,42,93,50,22,7,8,0,35,448,13,8,14,17,49,76,150,132,382,333,293,157,103,42,171,1949
311021309,0,0,0,0,0,0,0,0,3,0,3,6,20,37,43,44,78,25,20,10,3,3,24,326,9,0,7,13,47,72,140,130,270,229,215,127,112,41,133,1537
311021310,0,0,0,0,0,0,0,0,4,3,3,16,9,24,25,33,55,31,12,12,13,3,25,258,14,5,8,14,30,43,103,96,230,260,251,191,177,105,169,1699
311031311,0,0,0,0,0,0,9,9,8,6,14,35,52,59,85,79,141,60,35,13,6,0,75,666,31,20,35,47,117,111,370,251,637,414,382,190,140,70,338,3142
311031312,0,0,0,0,0,0,0,4,4,8,16,18,21,63,52,61,78,56,30,12,4,0,54,471,20,13,18,29,49,82,144,144,379,267,264,139,84,24,201,1866
311031313,0,0,0,0,0,0,3,3,4,3,3,6,11,31,10,26,46,20,9,3,0,0,21,203,17,6,10,12,33,43,89,78,215,204,200,97,101,68,138,1316
311031314,0,0,0,0,0,0,9,8,21,6,29,27,56,86,113,92,158,62,41,9,11,0,64,762,37,6,36,37,102,127,250,220,638,489,368,175,108,34,266,2886
311031315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311031316,0,0,0,0,0,0,3,3,6,3,7,16,14,41,48,52,96,38,29,15,6,4,44,418,21,11,12,17,57,60,139,124,400,326,313,198,158,120,229,2181
311031317,0,0,0,0,0,0,6,5,17,8,26,39,75,127,109,118,181,71,43,17,6,0,67,899,43,20,38,44,140,178,292,299,658,529,388,193,111,44,315,3299
311031318,0,0,0,0,0,0,4,4,7,3,9,6,8,5,9,9,31,14,10,5,3,0,13,126,19,8,14,3,35,29,73,60,184,172,177,134,143,72,170,1282
311031319,0,0,0,0,0,0,4,4,15,6,9,20,38,72,81,96,175,85,54,18,15,3,76,755,46,16,32,25,106,145,248,274,774,699,710,428,307,106,398,4309
311041320,0,0,0,0,0,0,0,3,12,3,15,23,27,28,34,41,77,40,27,18,9,0,36,382,49,19,25,35,72,77,180,171,481,494,515,390,431,207,360,3506
311041321,0,0,0,0,0,0,8,10,23,9,18,36,56,103,121,113,212,106,50,19,12,5,84,970,68,19,39,43,144,179,406,359,1075,1167,1118,669,562,279,767,6887
311041322,0,0,0,0,0,0,3,4,4,0,10,6,16,25,23,28,41,26,14,3,4,0,31,218,16,8,21,9,52,54,144,102,273,270,265,191,195,102,200,1886
311051323,0,0,0,0,0,0,3,3,9,3,8,13,24,62,73,64,115,61,33,9,0,0,52,550,30,10,13,20,95,90,311,208,504,397,364,188,142,57,269,2689
311051324,0,0,0,0,0,0,0,0,4,0,3,9,8,15,21,23,63,38,42,17,11,12,28,294,15,8,12,10,48,52,127,82,326,279,332,270,308,246,251,2361
311051325,0,0,0,0,0,0,6,10,9,3,17,13,28,50,58,50,129,61,37,25,8,0,44,527,29,12,22,19,73,85,179,161,559,456,501,299,227,112,268,3003
311051326,0,0,0,0,0,0,4,9,12,5,26,29,52,73,82,66,130,74,34,14,9,0,73,676,40,17,37,33,98,116,204,209,499,402,310,147,104,30,255,2508
311051327,0,0,0,0,0,0,0,0,6,0,6,6,14,39,34,42,97,67,40,20,16,9,36,445,26,9,15,16,51,75,136,163,469,450,505,365,429,268,325,3308
311051328,0,0,0,0,0,0,3,3,11,3,11,23,47,60,57,43,79,48,19,6,8,4,40,458,26,9,18,28,94,87,202,134,364,269,195,88,76,34,181,1795
311061329,0,0,0,0,0,0,3,5,10,3,7,15,19,26,20,30,68,51,23,13,8,3,33,330,24,10,6,13,46,42,99,108,278,255,278,175,193,143,178,1852
311061330,0,0,0,0,0,0,7,10,8,6,19,38,59,88,92,101,126,44,21,15,7,0,95,721,33,22,37,48,115,133,256,236,498,295,209,108,57,12,281,2347
311061331,0,0,0,0,0,0,4,5,11,3,18,31,46,57,54,52,70,29,8,4,3,3,42,435,31,16,24,38,107,91,173,143,265,150,89,41,20,19,168,1372
